"","cell_id","class_label"
"1--epiblast: epiblast-E6.5","1_E6.5_8.5_Chan",1
"5--xecto: extraembryonic ectoderm 1-E6.5","5_E6.5_8.5_Chan",2
"6--epiblast: epiblast-E6.5","6_E6.5_8.5_Chan",3
"8--xecto: extraembryonic ectoderm 1-E6.5","8_E6.5_8.5_Chan",2
"9--xendo: primitive and definitive endoderm-E6.5","9_E6.5_8.5_Chan",4
"10--xendo: primitive and definitive endoderm-E6.5","10_E6.5_8.5_Chan",5
"13--xendo: visceral endoderm early-E6.5","13_E6.5_8.5_Chan",4
"14--xendo: primitive and definitive endoderm-E6.5","14_E6.5_8.5_Chan",5
"16--xecto: extraembryonic ectoderm 1-E7.0","16_E6.5_8.5_Chan",2
"17--ectoderm: ectoderm early 1-E7.0","17_E6.5_8.5_Chan",1
"19--mesoderm: primitive streak early-E7.0","19_E6.5_8.5_Chan",6
"21--mesoderm: primitive streak early-E7.0","21_E6.5_8.5_Chan",6
"24--mesoderm: streak pre-specified/anterior-E7.0","24_E6.5_8.5_Chan",1
"28--mesoderm: primitive streak early-E7.0","28_E6.5_8.5_Chan",6
"31--xendo: primitive and definitive endoderm-E7.0","31_E6.5_8.5_Chan",5
"32--mesoderm: primitive streak early-E7.0","32_E6.5_8.5_Chan",7
"34--mesoderm: streak pre-specified/anterior-E7.0","34_E6.5_8.5_Chan",8
"35--mesoderm: streak pre-specified/anterior-E7.0","35_E6.5_8.5_Chan",1
"36--mesoderm: streak pre-specified/anterior-E7.0","36_E6.5_8.5_Chan",1
"37--xecto: extraembryonic ectoderm 1-E7.0","37_E6.5_8.5_Chan",2
"39--xendo: primitive and definitive endoderm-E7.0","39_E6.5_8.5_Chan",4
"41--pgcs: primordial germ cells (PGCs)-E7.0","41_E6.5_8.5_Chan",9
"44--ectoderm: ectoderm early 2-E7.5","44_E6.5_8.5_Chan",5
"45--xecto: extraembryonic ectoderm 1-E7.5","45_E6.5_8.5_Chan",2
"48--mesoderm: primitive streak late-E7.5","48_E6.5_8.5_Chan",9
"50--xmeso: allantois-E7.5","50_E6.5_8.5_Chan",10
"52--mesoderm: NMPs early-E7.5","52_E6.5_8.5_Chan",1
"54--mesoderm: primitive streak late-E7.5","54_E6.5_8.5_Chan",6
"56--xmeso: allantois-E7.5","56_E6.5_8.5_Chan",11
"61--endoderm: gut-E7.5","61_E6.5_8.5_Chan",11
"65--mesoderm: primitive streak late-E7.5","65_E6.5_8.5_Chan",7
