"","cell_id","class_label"
"19--mesoderm: primitive streak early-E7.0","19_E6.5_8.5_Chan",1
"21--mesoderm: primitive streak early-E7.0","21_E6.5_8.5_Chan",1
"24--mesoderm: streak pre-specified/anterior-E7.0","24_E6.5_8.5_Chan",1
"28--mesoderm: primitive streak early-E7.0","28_E6.5_8.5_Chan",1
"48--mesoderm: primitive streak late-E7.5","48_E6.5_8.5_Chan",1
"52--mesoderm: NMPs early-E7.5","52_E6.5_8.5_Chan",1
"53--mesoderm: primitive streak late-E7.5","53_E6.5_8.5_Chan",1
"54--mesoderm: primitive streak late-E7.5","54_E6.5_8.5_Chan",1
"58--mesoderm: primitive streak early-E7.5","58_E6.5_8.5_Chan",1
"65--mesoderm: primitive streak late-E7.5","65_E6.5_8.5_Chan",1
"70--mesoderm: node-E7.5","70_E6.5_8.5_Chan",1
"86--mesoderm: presomitic mesoderm-E8.0","86_E6.5_8.5_Chan",1
"96--mesoderm: haematopoeitic/endothelial progenitor-E8.0","96_E6.5_8.5_Chan",2
"105--mesoderm: angioblasts-E8.0","105_E6.5_8.5_Chan",3
"110--mesoderm: NMPs late-E8.0","110_E6.5_8.5_Chan",1
"111--mesoderm: somites-E8.0","111_E6.5_8.5_Chan",1
"122--mesoderm: presomitic mesoderm-E8.0","122_E6.5_8.5_Chan",1
"123--mesoderm: notochord-E8.0","123_E6.5_8.5_Chan",4
"138--mesoderm: angioblasts-E8.5","138_E6.5_8.5_Chan",3
"139--mesoderm: presomitic mesoderm-E8.5","139_E6.5_8.5_Chan",1
"155--mesoderm: posterior lateral plate mesoderm-E8.5","155_E6.5_8.5_Chan",1
"156--ectoderm: fore/midbrain-E8.5","156_E6.5_8.5_Chan",5
"162--ectoderm: future spinal cord-E8.5","162_E6.5_8.5_Chan",6
"163--mesoderm: somites-E8.5","163_E6.5_8.5_Chan",1
"169--mesoderm: presomitic mesoderm-E8.5","169_E6.5_8.5_Chan",1
"172--ectoderm: fore/midbrain-E8.5","172_E6.5_8.5_Chan",6
"175--ectoderm: preplacodal ectoderm-E8.5","175_E6.5_8.5_Chan",6
"176--ectoderm: similar to neural crest-E8.5","176_E6.5_8.5_Chan",4
"178--mesoderm: notochord-E8.5","178_E6.5_8.5_Chan",4
"223--mesoderm: Nascent mesoderm-E7.25","223_E6.5_8.5_Marioni",1
"236--mesoderm: Nascent mesoderm-E7.25","236_E6.5_8.5_Marioni",1
"262--mesoderm: Intermediate mesoderm-E8.0","262_E6.5_8.5_Marioni",1
"267--mesoderm: Notochord-E8.0","267_E6.5_8.5_Marioni",1
"270--mesoderm: Intermediate mesoderm-E8.0","270_E6.5_8.5_Marioni",1
"291--mesoderm: Somitic mesoderm-E8.25","291_E6.5_8.5_Marioni",1
"292--mesoderm: Haematoendothelial progenitors-E8.25","292_E6.5_8.5_Marioni",3
"303--mesoderm: Somitic mesoderm-E8.5","303_E6.5_8.5_Marioni",1
"337--bladder: bladder urothelial cell-18m","337_18m 10x",7
"338--bladder: endothelial cell-18m","338_18m 10x",8
"341--bladder: bladder urothelial cell-1m","341_1m 10x",7
"342--bladder: endothelial cell-1m","342_1m 10x",8
"343--bladder: leukocyte-1m","343_1m 10x",5
"345--bladder: bladder urothelial cell-24m","345_24m 10x",7
"346--bladder: endothelial cell-24m","346_24m 10x",8
"347--bladder: leukocyte-24m","347_24m 10x",9
"349--bladder: bladder urothelial cell-3m","349_3m 10x",7
"350--bladder: endothelial cell-3m","350_3m 10x",8
"351--bladder: leukocyte-3m","351_3m 10x",9
"352--fat: B cell-18m","352_18m 10x",9
"353--fat: endothelial cell-18m","353_18m 10x",10
"357--fat: myeloid cell-18m","357_18m 10x",9
"360--fat: endothelial cell-21m","360_21m 10x",10
"363--fat: myeloid cell-21m","363_21m 10x",9
"364--fat: T cell-21m","364_21m 10x",11
"366--fat: endothelial cell-30m","366_30m 10x",10
"369--fat: myeloid cell-30m","369_30m 10x",9
"370--fat: T cell-30m","370_30m 10x",11
"372--heart_and_aorta: endocardial cell-18m","372_18m 10x",12
"373--heart_and_aorta: endothelial cell of coronary artery-18m","373_18m 10x",10
"375--heart_and_aorta: leukocyte-18m","375_18m 10x",9
"376--heart_and_aorta: smooth muscle cell-18m","376_18m 10x",13
"378--heart_and_aorta: endocardial cell-1m","378_1m 10x",12
"379--heart_and_aorta: endothelial cell of coronary artery-1m","379_1m 10x",10
"381--heart_and_aorta: leukocyte-1m","381_1m 10x",5
"382--heart_and_aorta: smooth muscle cell-1m","382_1m 10x",13
"384--heart_and_aorta: endocardial cell-21m","384_21m 10x",12
"385--heart_and_aorta: endothelial cell of coronary artery-21m","385_21m 10x",10
"387--heart_and_aorta: leukocyte-21m","387_21m 10x",5
"388--heart_and_aorta: endocardial cell-24m","388_24m 10x",12
"389--heart_and_aorta: endothelial cell of coronary artery-24m","389_24m 10x",10
"391--heart_and_aorta: leukocyte-24m","391_24m 10x",9
"392--heart_and_aorta: smooth muscle cell-24m","392_24m 10x",13
"394--heart_and_aorta: endocardial cell-30m","394_30m 10x",12
"395--heart_and_aorta: endothelial cell of coronary artery-30m","395_30m 10x",10
"396--heart_and_aorta: erythrocyte-30m","396_30m 10x",10
"398--heart_and_aorta: leukocyte-30m","398_30m 10x",9
"399--heart_and_aorta: mast cell-30m","399_30m 10x",14
"400--heart_and_aorta: smooth muscle cell-30m","400_30m 10x",13
"402--heart_and_aorta: endocardial cell-3m","402_3m 10x",12
"403--heart_and_aorta: endothelial cell of coronary artery-3m","403_3m 10x",10
"405--heart_and_aorta: leukocyte-3m","405_3m 10x",9
"406--kidney: B cell-18m","406_18m 10x",15
"409--kidney: fenestrated cell-18m","409_18m 10x",10
"411--kidney: kidney collecting duct principal cell-18m","411_18m 10x",16
"412--kidney: kidney cortex artery cell-18m","412_18m 10x",10
"416--kidney: kidney mesangial cell-18m","416_18m 10x",8
"418--kidney: lymphocyte-18m","418_18m 10x",9
"419--kidney: macrophage-18m","419_18m 10x",15
"420--kidney: podocyte-18m","420_18m 10x",6
"424--kidney: fenestrated cell-1m","424_1m 10x",10
"425--kidney: kidney capillary endothelial cell-1m","425_1m 10x",10
"427--kidney: kidney cortex artery cell-1m","427_1m 10x",10
"430--kidney: kidney loop of Henle thick ascending limb epithelial cell-1m","430_1m 10x",16
"431--kidney: kidney mesangial cell-1m","431_1m 10x",13
"433--kidney: macrophage-1m","433_1m 10x",11
"434--kidney: podocyte-1m","434_1m 10x",6
"438--kidney: fenestrated cell-21m","438_21m 10x",10
"439--kidney: kidney collecting duct principal cell-21m","439_21m 10x",16
"440--kidney: kidney cortex artery cell-21m","440_21m 10x",10
"443--kidney: kidney mesangial cell-21m","443_21m 10x",13
"445--kidney: lymphocyte-21m","445_21m 10x",15
"446--kidney: macrophage-21m","446_21m 10x",11
"447--kidney: podocyte-21m","447_21m 10x",16
"448--kidney: T cell-21m","448_21m 10x",11
"450--kidney: lymphocyte-24m","450_24m 10x",5
"451--kidney: macrophage-24m","451_24m 10x",15
"452--kidney: NK cell-24m","452_24m 10x",11
"458--kidney: fenestrated cell-30m","458_30m 10x",10
"460--kidney: kidney collecting duct principal cell-30m","460_30m 10x",16
"461--kidney: kidney cortex artery cell-30m","461_30m 10x",10
"466--kidney: lymphocyte-30m","466_30m 10x",15
"467--kidney: macrophage-30m","467_30m 10x",15
"469--kidney: podocyte-30m","469_30m 10x",16
"470--kidney: T cell-30m","470_30m 10x",11
"472--kidney: fenestrated cell-3m","472_3m 10x",10
"473--kidney: kidney capillary endothelial cell-3m","473_3m 10x",10
"474--kidney: kidney collecting duct principal cell-3m","474_3m 10x",16
"475--kidney: kidney cortex artery cell-3m","475_3m 10x",10
"479--kidney: kidney mesangial cell-3m","479_3m 10x",13
"482--kidney: lymphocyte-3m","482_3m 10x",15
"483--kidney: macrophage-3m","483_3m 10x",11
"484--kidney: podocyte-3m","484_3m 10x",16
"487--large_intestine: hematopoietic stem cell-30m","487_30m 10x",9
"489--large_intestine: large intestine goblet cell-30m","489_30m 10x",17
"490--limb_muscle: endothelial cell-18m","490_18m 10x",10
"491--limb_muscle: macrophage-18m","491_18m 10x",9
"493--limb_muscle: Schwann cell-18m","493_18m 10x",16
"494--limb_muscle: skeletal muscle satellite cell-18m","494_18m 10x",18
"495--limb_muscle: smooth muscle cell-18m","495_18m 10x",13
"496--limb_muscle: T cell-18m","496_18m 10x",15
"497--limb_muscle: B cell-1m","497_1m 10x",19
"498--limb_muscle: endothelial cell-1m","498_1m 10x",10
"499--limb_muscle: macrophage-1m","499_1m 10x",9
"502--limb_muscle: skeletal muscle satellite cell-1m","502_1m 10x",18
"503--limb_muscle: smooth muscle cell-1m","503_1m 10x",13
"504--limb_muscle: T cell-1m","504_1m 10x",11
"506--limb_muscle: endothelial cell-21m","506_21m 10x",10
"507--limb_muscle: macrophage-21m","507_21m 10x",9
"509--limb_muscle: skeletal muscle satellite cell-21m","509_21m 10x",18
"510--limb_muscle: smooth muscle cell-21m","510_21m 10x",13
"513--limb_muscle: endothelial cell-24m","513_24m 10x",10
"514--limb_muscle: macrophage-24m","514_24m 10x",9
"516--limb_muscle: Schwann cell-24m","516_24m 10x",16
"519--limb_muscle: smooth muscle cell-24m","519_24m 10x",13
"522--limb_muscle: endothelial cell-30m","522_30m 10x",10
"523--limb_muscle: macrophage-30m","523_30m 10x",9
"528--limb_muscle: smooth muscle cell-30m","528_30m 10x",13
"531--limb_muscle: endothelial cell-3m","531_3m 10x",10
"532--limb_muscle: macrophage-3m","532_3m 10x",9
"534--limb_muscle: skeletal muscle satellite cell-3m","534_3m 10x",18
"535--limb_muscle: smooth muscle cell-3m","535_3m 10x",13
"538--liver: Kupffer cell-18m","538_18m 10x",9
"539--liver: myeloid leukocyte-18m","539_18m 10x",5
"540--liver: NK cell-18m","540_18m 10x",11
"541--liver: endothelial cell of hepatic sinusoid-1m","541_1m 10x",12
"543--liver: Kupffer cell-1m","543_1m 10x",9
"544--liver: myeloid leukocyte-1m","544_1m 10x",15
"545--liver: NK cell-1m","545_1m 10x",11
"548--liver: NK cell-21m","548_21m 10x",11
"550--liver: B cell-30m","550_30m 10x",5
"551--liver: endothelial cell of hepatic sinusoid-30m","551_30m 10x",12
"554--liver: NK cell-30m","554_30m 10x",11
"557--lung: alveolar macrophage-18m","557_18m 10x",9
"558--lung: B cell-18m","558_18m 10x",19
"559--lung: bronchial smooth muscle cell-18m","559_18m 10x",10
"562--lung: classical monocyte-18m","562_18m 10x",9
"564--lung: intermediate monocyte-18m","564_18m 10x",9
"565--lung: mature NK T cell-18m","565_18m 10x",11
"566--lung: myeloid dendritic cell-18m","566_18m 10x",9
"567--lung: neutrophil-18m","567_18m 10x",14
"568--lung: NK cell-18m","568_18m 10x",11
"569--lung: non-classical monocyte-18m","569_18m 10x",15
"570--lung: smooth muscle cell of the pulmonary artery-18m","570_18m 10x",10
"571--lung: T cell-18m","571_18m 10x",11
"573--lung: vein endothelial cell-18m","573_18m 10x",17
"574--lung: alveolar macrophage-1m","574_1m 10x",9
"575--lung: B cell-1m","575_1m 10x",19
"576--lung: bronchial smooth muscle cell-1m","576_1m 10x",10
"579--lung: classical monocyte-1m","579_1m 10x",9
"581--lung: intermediate monocyte-1m","581_1m 10x",9
"582--lung: myeloid dendritic cell-1m","582_1m 10x",15
"583--lung: neutrophil-1m","583_1m 10x",14
"584--lung: NK cell-1m","584_1m 10x",11
"587--lung: alveolar macrophage-21m","587_21m 10x",9
"588--lung: B cell-21m","588_21m 10x",19
"589--lung: basophil-21m","589_21m 10x",15
"590--lung: bronchial smooth muscle cell-21m","590_21m 10x",10
"591--lung: CD4-positive  alpha-beta T cell-21m","591_21m 10x",11
"592--lung: CD8-positive  alpha-beta T cell-21m","592_21m 10x",11
"593--lung: classical monocyte-21m","593_21m 10x",9
"595--lung: mature NK T cell-21m","595_21m 10x",11
"596--lung: myeloid dendritic cell-21m","596_21m 10x",15
"597--lung: NK cell-21m","597_21m 10x",11
"598--lung: non-classical monocyte-21m","598_21m 10x",15
"599--lung: T cell-21m","599_21m 10x",11
"600--lung: vein endothelial cell-21m","600_21m 10x",17
"601--lung: alveolar macrophage-30m","601_30m 10x",9
"604--lung: bronchial smooth muscle cell-30m","604_30m 10x",10
"605--lung: CD4-positive  alpha-beta T cell-30m","605_30m 10x",11
"607--lung: classical monocyte-30m","607_30m 10x",9
"608--lung: intermediate monocyte-30m","608_30m 10x",9
"610--lung: mature NK T cell-30m","610_30m 10x",11
"611--lung: myeloid dendritic cell-30m","611_30m 10x",15
"612--lung: NK cell-30m","612_30m 10x",11
"614--lung: regulatory T cell-30m","614_30m 10x",11
"615--lung: T cell-30m","615_30m 10x",11
"616--lung: vein endothelial cell-30m","616_30m 10x",17
"618--lung: alveolar macrophage-3m","618_3m 10x",9
"619--lung: B cell-3m","619_3m 10x",9
"620--lung: bronchial smooth muscle cell-3m","620_3m 10x",10
"621--lung: CD4-positive  alpha-beta T cell-3m","621_3m 10x",11
"623--lung: ciliated columnar cell of tracheobronchial tree-3m","623_3m 10x",20
"624--lung: classical monocyte-3m","624_3m 10x",9
"626--lung: myeloid dendritic cell-3m","626_3m 10x",9
"627--lung: NK cell-3m","627_3m 10x",11
"628--lung: non-classical monocyte-3m","628_3m 10x",9
"629--lung: pericyte cell-3m","629_3m 10x",18
"631--lung: type II pneumocyte-3m","631_3m 10x",6
"633--mammary_gland: basal cell-18m","633_18m 10x",21
"634--mammary_gland: endothelial cell-18m","634_18m 10x",10
"636--mammary_gland: macrophage-18m","636_18m 10x",9
"640--mammary_gland: basal cell-21m","640_21m 10x",21
"641--mammary_gland: endothelial cell-21m","641_21m 10x",10
"642--mammary_gland: luminal epithelial cell of mammary gland-21m","642_21m 10x",22
"643--mammary_gland: macrophage-21m","643_21m 10x",9
"647--mammary_gland: basal cell-3m","647_3m 10x",21
"648--mammary_gland: endothelial cell-3m","648_3m 10x",10
"649--mammary_gland: luminal epithelial cell of mammary gland-3m","649_3m 10x",22
"650--mammary_gland: macrophage-3m","650_3m 10x",9
"654--marrow: granulocyte-18m","654_18m 10x",14
"656--marrow: hematopoietic precursor cell-18m","656_18m 10x",5
"657--marrow: immature B cell-18m","657_18m 10x",16
"661--marrow: monocyte-18m","661_18m 10x",9
"662--marrow: naive B cell-18m","662_18m 10x",19
"664--marrow: precursor B cell-18m","664_18m 10x",23
"665--marrow: proerythroblast-18m","665_18m 10x",14
"668--marrow: granulocyte-1m","668_1m 10x",14
"670--marrow: hematopoietic precursor cell-1m","670_1m 10x",11
"674--marrow: monocyte-1m","674_1m 10x",9
"675--marrow: naive B cell-1m","675_1m 10x",5
"678--marrow: proerythroblast-1m","678_1m 10x",14
"681--marrow: granulocyte-21m","681_21m 10x",14
"682--marrow: granulocytopoietic cell-21m","682_21m 10x",5
"683--marrow: hematopoietic precursor cell-21m","683_21m 10x",11
"687--marrow: monocyte-21m","687_21m 10x",9
"690--marrow: NK cell-21m","690_21m 10x",9
"691--marrow: precursor B cell-21m","691_21m 10x",23
"692--marrow: proerythroblast-21m","692_21m 10x",14
"696--marrow: granulocyte-24m","696_24m 10x",14
"698--marrow: hematopoietic precursor cell-24m","698_24m 10x",11
"703--marrow: monocyte-24m","703_24m 10x",9
"706--marrow: plasma cell-24m","706_24m 10x",15
"708--marrow: proerythroblast-24m","708_24m 10x",14
"712--marrow: granulocyte-30m","712_30m 10x",14
"714--marrow: hematopoietic precursor cell-30m","714_30m 10x",11
"719--marrow: monocyte-30m","719_30m 10x",9
"720--marrow: naive B cell-30m","720_30m 10x",23
"722--marrow: NK cell-30m","722_30m 10x",9
"723--marrow: plasma cell-30m","723_30m 10x",9
"724--marrow: precursor B cell-30m","724_30m 10x",23
"725--marrow: proerythroblast-30m","725_30m 10x",14
"728--marrow: granulocyte-3m","728_3m 10x",14
"734--marrow: monocyte-3m","734_3m 10x",9
"735--marrow: naive B cell-3m","735_3m 10x",5
"737--marrow: plasma cell-3m","737_3m 10x",15
"739--marrow: proerythroblast-3m","739_3m 10x",14
"741--pancreas: endothelial cell-18m","741_18m 10x",10
"742--pancreas: leukocyte-18m","742_18m 10x",5
"746--pancreas: pancreatic ductal cel-18m","746_18m 10x",6
"748--pancreas: leukocyte-21m","748_21m 10x",5
"753--pancreas: leukocyte-30m","753_30m 10x",9
"756--pancreas: pancreatic B cell-30m","756_30m 10x",20
"758--pancreas: pancreatic ductal cel-30m","758_30m 10x",16
"759--skin: basal cell of epidermis-18m","759_18m 10x",20
"760--skin: basal cell of epidermis-21m","760_21m 10x",20
"761--skin: epidermal cell-21m","761_21m 10x",16
"762--skin: keratinocyte stem cell-21m","762_21m 10x",20
"763--skin: stem cell of epidermis-21m","763_21m 10x",20
"764--skin: T cell-21m","764_21m 10x",11
"766--spleen: macrophage-18m","766_18m 10x",15
"768--spleen: NK cell-18m","768_18m 10x",11
"770--spleen: proerythroblast-18m","770_18m 10x",15
"772--spleen: B cell-1m","772_1m 10x",19
"773--spleen: macrophage-1m","773_1m 10x",15
"775--spleen: NK cell-1m","775_1m 10x",11
"776--spleen: proerythroblast-1m","776_1m 10x",9
"777--spleen: T cell-1m","777_1m 10x",11
