"","class_label","cell_ontology_class","age"
"1","0","allantois","E7.0"
"2","0","allantois","E7.5"
"3","0","allantois","E8.0"
"4","0","Allantois","E8.25"
"5","0","Allantois","E8.5"
"6","0","alveolar macrophage","18m"
"7","0","alveolar macrophage","1m"
"8","0","alveolar macrophage","21m"
"9","0","alveolar macrophage","30m"
"10","0","alveolar macrophage","3m"
"11","0","angioblasts","E8.0"
"12","0","Anterior Primitive Streak","E7.0"
"13","0","Anterior Primitive Streak","E7.25"
"14","0","astrocyte","18m"
"15","0","atrial myocyte","18m"
"16","0","B cell","18m"
"17","0","B cell","21m"
"18","0","B cell","30m"
"19","0","B cell","24m"
"20","0","B cell","1m"
"21","0","B cell","3m"
"22","0","basal cell","18m"
"23","0","basal cell","3m"
"24","0","basal cell of epidermis","18m"
"25","0","basal cell of epidermis","24m"
"26","0","basal cell of epidermis","3m"
"27","0","basal epithelial cell of tracheobronchial tree","18m"
"28","0","basophil","21m"
"29","0","basophil","30m"
"30","0","bladder cell","18m"
"31","0","bladder cell","3m"
"32","0","bladder urothelial cell","18m"
"33","0","bladder urothelial cell","24m"
"34","0","bladder urothelial cell","3m"
"35","0","blood cell","3m"
"36","0","Blood progenitors 2","E7.75"
"37","0","Blood progenitors 2","E8.0"
"38","0","Blood progenitors 2","E8.5"
"39","0","brain pericyte","18m"
"40","0","brain pericyte","3m"
"41","0","bronchial smooth muscle cell","18m"
"42","0","bronchial smooth muscle cell","24m"
"43","0","bulge keratinocyte","18m"
"44","0","cardiac muscle cell","3m"
"45","0","cardiomyocyte","18m"
"46","0","cardiomyocyte","1m"
"47","0","cardiomyocyte","21m"
"48","0","cardiomyocyte","30m"
"49","0","cardiomyocyte","3m"
"50","0","Cardiomyocytes","E7.75"
"51","0","Cardiomyocytes","E8.25"
"52","0","Cardiomyocytes","E8.5"
"53","0","Caudal epiblast","E7.75"
"54","0","Caudal epiblast","E8.0"
"55","0","Caudal neurectoderm","E8.0"
"56","0","CD4-positive  alpha-beta T cell","18m"
"57","0","CD4-positive  alpha-beta T cell","1m"
"58","0","CD4-positive  alpha-beta T cell","21m"
"59","0","CD4-positive  alpha-beta T cell","30m"
"60","0","CD4-positive  alpha-beta T cell","3m"
"61","0","CD8-positive  alpha-beta T cell","18m"
"62","0","CD8-positive  alpha-beta T cell","1m"
"63","0","CD8-positive  alpha-beta T cell","21m"
"64","0","CD8-positive  alpha-beta T cell","30m"
"65","0","CD8-positive  alpha-beta T cell","3m"
"66","0","classical monocyte","18m"
"67","0","classical monocyte","1m"
"68","0","classical monocyte","21m"
"69","0","classical monocyte","30m"
"70","0","classical monocyte","3m"
"71","0","differentiated trophoblasts","E7.5"
"72","0","differentiated trophoblasts","E8.0"
"73","0","differentiated trophoblasts","E8.5"
"74","0","DN3 thymocyte","18m"
"75","0","DN3 thymocyte","21m"
"76","0","DN3 thymocyte","3m"
"77","0","DN4 thymocyte","18m"
"78","0","DN4 thymocyte","21m"
"79","0","DN4 thymocyte","24m"
"80","0","DN4 thymocyte","3m"
"81","0","double negative T cell","18m"
"82","0","double negative T cell","21m"
"83","0","double negative T cell","3m"
"84","0","Early erythrocyte","E10.5"
"85","0","Early erythrocyte","E11"
"86","0","Early erythrocyte","E12"
"87","0","Early erythrocyte","E13"
"88","0","EC","E9.5-11.5"
