"","cell_id","cell_ontology_class","Cell_class","dataset","age","tgfb","bmpr","notch","eph_ephr","wnt","rna","ubi"
"1","1_E6.5_8.5_Chan","epiblast","Epiblast","E6.5_8.5_Chan","E6.5",1,1,0,1,1,1,1
"2","2_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E6.5",0,0,0,0,0,2,1
"3","3_E6.5_8.5_Chan","epiblast","Epiblast","E6.5_8.5_Chan","E6.5",1,1,0,0,1,1,1
"4","4_E6.5_8.5_Chan","epiblast","Epiblast","E6.5_8.5_Chan","E6.5",1,1,0,0,1,1,1
"5","5_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E6.5",2,2,0,2,0,1,1
"6","6_E6.5_8.5_Chan","epiblast","Epiblast","E6.5_8.5_Chan","E6.5",1,1,0,3,1,1,1
"7","7_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E6.5",2,1,0,0,0,1,1
"8","8_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E6.5",2,1,0,2,0,1,1
"9","9_E6.5_8.5_Chan","primitive and definitive endoderm","Endoderm","E6.5_8.5_Chan","E6.5",3,3,0,4,2,1,2
"10","10_E6.5_8.5_Chan","primitive and definitive endoderm","Endoderm","E6.5_8.5_Chan","E6.5",3,3,0,5,3,1,2
"11","11_E6.5_8.5_Chan","extraembryonic ectoderm 2","Ex_ectoderm","E6.5_8.5_Chan","E6.5",2,2,0,0,0,1,1
"12","12_E6.5_8.5_Chan","extraembryonic ectoderm 2","Ex_ectoderm","E6.5_8.5_Chan","E6.5",0,0,0,0,0,2,1
"13","13_E6.5_8.5_Chan","visceral endoderm early","Endoderm","E6.5_8.5_Chan","E6.5",3,4,0,4,2,3,2
"14","14_E6.5_8.5_Chan","primitive and definitive endoderm","Endoderm","E6.5_8.5_Chan","E6.5",4,4,0,5,4,1,2
"15","15_E6.5_8.5_Chan","parietal endoderm","Endoderm","E6.5_8.5_Chan","E6.5",4,5,0,0,0,2,2
"16","16_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E7.0",2,2,0,2,0,1,1
"17","17_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",5,1,0,1,0,1,1
"18","18_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.0",0,1,0,0,0,4,1
"19","19_E6.5_8.5_Chan","primitive streak early","Primitive_streak","E6.5_8.5_Chan","E7.0",1,2,1,6,1,1,1
"20","20_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",5,1,0,0,1,1,1
"21","21_E6.5_8.5_Chan","primitive streak early","Primitive_streak","E6.5_8.5_Chan","E7.0",1,2,1,6,1,1,1
"22","22_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",1,1,0,0,1,1,1
"23","23_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",5,1,0,0,1,1,1
"24","24_E6.5_8.5_Chan","streak pre-specified/anterior","Primitive_streak","E6.5_8.5_Chan","E7.0",5,1,1,1,1,1,1
"25","25_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",5,1,0,0,1,1,1
"26","26_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",1,1,0,0,1,1,1
"27","27_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",1,1,0,0,1,1,1
"28","28_E6.5_8.5_Chan","primitive streak early","Primitive_streak","E6.5_8.5_Chan","E7.0",1,2,1,6,0,1,1
"29","29_E6.5_8.5_Chan","visceral endoderm early","Endoderm","E6.5_8.5_Chan","E7.0",3,3,0,0,0,1,2
"30","30_E6.5_8.5_Chan","allantois","Endoderm","E6.5_8.5_Chan","E7.0",1,2,0,0,0,1,1
"31","31_E6.5_8.5_Chan","primitive and definitive endoderm","Endoderm","E6.5_8.5_Chan","E7.0",3,3,0,5,3,1,2
"32","32_E6.5_8.5_Chan","primitive streak early","Primitive_streak","E6.5_8.5_Chan","E7.0",0,0,0,7,0,4,1
"33","33_E6.5_8.5_Chan","haematopoeitic/endothelial progenitor","Blood","E6.5_8.5_Chan","E7.0",2,2,0,0,0,1,1
"34","34_E6.5_8.5_Chan","streak pre-specified/anterior","Primitive_streak","E6.5_8.5_Chan","E7.0",2,1,0,8,5,1,1
"35","35_E6.5_8.5_Chan","streak pre-specified/anterior","Primitive_streak","E6.5_8.5_Chan","E7.0",5,1,0,1,5,1,1
"36","36_E6.5_8.5_Chan","streak pre-specified/anterior","Primitive_streak","E6.5_8.5_Chan","E7.0",2,1,0,1,6,1,1
"37","37_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E7.0",2,1,0,2,0,1,1
"38","38_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",5,1,0,0,1,1,1
"39","39_E6.5_8.5_Chan","primitive and definitive endoderm","Endoderm","E6.5_8.5_Chan","E7.0",3,3,0,4,2,1,2
"40","40_E6.5_8.5_Chan","ectoderm early 1","Ectoderm","E6.5_8.5_Chan","E7.0",2,1,0,0,1,1,3
"41","41_E6.5_8.5_Chan","primordial germ cells (PGCs)","Epiblast","E6.5_8.5_Chan","E7.0",2,1,0,9,0,1,1
"42","42_E6.5_8.5_Chan","parietal endoderm","Endoderm","E6.5_8.5_Chan","E7.0",4,5,0,0,0,1,2
"43","43_E6.5_8.5_Chan","haematopoeitic/endothelial progenitor","Blood","E6.5_8.5_Chan","E7.0",0,0,0,0,0,4,1
"44","44_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",1,1,0,5,1,1,1
"45","45_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E7.5",2,1,0,2,0,1,1
"46","46_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E7.5",2,1,0,0,0,1,1
"47","47_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",0,0,0,0,0,4,1
"48","48_E6.5_8.5_Chan","primitive streak late","Primitive_streak","E6.5_8.5_Chan","E7.5",1,2,1,9,0,1,1
"49","49_E6.5_8.5_Chan","visceral endoderm early","Endoderm","E6.5_8.5_Chan","E7.5",3,3,0,0,2,1,2
"50","50_E6.5_8.5_Chan","allantois","Endoderm","E6.5_8.5_Chan","E7.5",2,2,0,10,7,1,1
"51","51_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",5,1,0,0,0,1,1
"52","52_E6.5_8.5_Chan","NMPs early","Spinal_cord","E6.5_8.5_Chan","E7.5",2,1,1,1,8,1,1
"53","53_E6.5_8.5_Chan","primitive streak late","Primitive_streak","E6.5_8.5_Chan","E7.5",0,0,1,0,0,4,1
"54","54_E6.5_8.5_Chan","primitive streak late","Primitive_streak","E6.5_8.5_Chan","E7.5",1,1,1,6,9,1,1
"55","55_E6.5_8.5_Chan","primitive blood progenitor","Blood","E6.5_8.5_Chan","E7.5",2,1,0,0,0,4,1
"56","56_E6.5_8.5_Chan","allantois","Endoderm","E6.5_8.5_Chan","E7.5",5,1,0,11,1,1,1
"57","57_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",2,1,0,0,0,1,1
"58","58_E6.5_8.5_Chan","primitive streak early","Primitive_streak","E6.5_8.5_Chan","E7.5",1,1,1,0,1,1,1
"59","59_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",5,1,0,0,0,1,1
"60","60_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",5,1,0,0,0,1,1
"61","61_E6.5_8.5_Chan","gut","Gut","E6.5_8.5_Chan","E7.5",1,1,0,11,5,1,1
"62","62_E6.5_8.5_Chan","haematopoeitic/endothelial progenitor","Blood","E6.5_8.5_Chan","E7.5",2,2,0,0,0,1,1
"63","63_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",1,1,0,0,1,1,1
"64","64_E6.5_8.5_Chan","ectoderm early 2","Ectoderm","E6.5_8.5_Chan","E7.5",1,1,0,0,9,1,1
"65","65_E6.5_8.5_Chan","primitive streak late","Primitive_streak","E6.5_8.5_Chan","E7.5",1,1,1,7,0,1,1
"66","66_E6.5_8.5_Chan","splanchnic-lateral/anterior-paraxial mesoderm","Mesoderm","E6.5_8.5_Chan","E7.5",1,1,0,11,1,1,1
"67","67_E6.5_8.5_Chan","parietal endoderm","Endoderm","E6.5_8.5_Chan","E7.5",4,5,0,12,0,1,2
"68","68_E6.5_8.5_Chan","primitive and definitive endoderm","Endoderm","E6.5_8.5_Chan","E7.5",2,2,0,5,3,1,2
"69","69_E6.5_8.5_Chan","allantois","Endoderm","E6.5_8.5_Chan","E7.5",2,2,0,10,0,1,1
"70","70_E6.5_8.5_Chan","node","Mesoderm","E6.5_8.5_Chan","E7.5",2,1,1,3,0,1,2
"71","71_E6.5_8.5_Chan","differentiated trophoblasts","Ex_ectoderm","E6.5_8.5_Chan","E7.5",1,2,0,0,0,4,1
"72","72_E6.5_8.5_Chan","allantois","Mesoderm","E6.5_8.5_Chan","E7.5",0,0,0,0,0,4,1
"73","73_E6.5_8.5_Chan","extraembryonic ectoderm 2","Ex_ectoderm","E6.5_8.5_Chan","E7.5",0,0,0,0,0,4,1
"74","74_E6.5_8.5_Chan","haematopoeitic/endothelial progenitor","Blood","E6.5_8.5_Chan","E7.5",0,0,0,0,0,4,1
"75","75_E6.5_8.5_Chan","streak pre-specified/anterior","Primitive_streak","E6.5_8.5_Chan","E7.5",1,1,0,12,5,1,1
"76","76_E6.5_8.5_Chan","visceral endoderm early","Endoderm","E6.5_8.5_Chan","E7.5",0,2,0,0,0,4,1
"77","77_E6.5_8.5_Chan","primordial germ cells (PGCs)","Epiblast","E6.5_8.5_Chan","E7.5",1,1,0,9,0,1,2
"78","78_E6.5_8.5_Chan","future spinal cord","Spinal_cord","E6.5_8.5_Chan","E8.0",5,1,0,0,10,1,1
"79","79_E6.5_8.5_Chan","preplacodal ectoderm","Ectoderm","E6.5_8.5_Chan","E8.0",5,1,0,5,1,1,1
"80","80_E6.5_8.5_Chan","primitive blood early","Blood","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"81","81_E6.5_8.5_Chan","neural ectoderm anterior","Ectoderm","E6.5_8.5_Chan","E8.0",5,1,0,13,5,1,1
"82","82_E6.5_8.5_Chan","extraembryonic ectoderm 1","Ex_ectoderm","E6.5_8.5_Chan","E8.0",2,1,0,0,0,1,1
"83","83_E6.5_8.5_Chan","posterior lateral plate mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",5,2,0,9,0,1,1
"84","84_E6.5_8.5_Chan","NMPs early","Spinal_cord","E6.5_8.5_Chan","E8.0",0,1,0,14,8,1,1
"85","85_E6.5_8.5_Chan","secondary heart field/splanchnic lateral plate","Heart","E6.5_8.5_Chan","E8.0",5,1,0,15,1,1,1
"86","86_E6.5_8.5_Chan","presomitic mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,1,6,8,1,1
"87","87_E6.5_8.5_Chan","fore/midbrain","Brain/Neurons","E6.5_8.5_Chan","E8.0",5,1,0,5,10,1,1
"88","88_E6.5_8.5_Chan","splanchnic-lateral/anterior-paraxial mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,0,11,1,1,1
"89","89_E6.5_8.5_Chan","splanchnic-lateral/anterior-paraxial mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,0,11,1,1,1
"90","90_E6.5_8.5_Chan","visceral endoderm early","Endoderm","E6.5_8.5_Chan","E8.0",3,6,0,0,2,1,2
"91","91_E6.5_8.5_Chan","allantois","Mesoderm","E6.5_8.5_Chan","E8.0",3,7,0,10,1,1,1
"92","92_E6.5_8.5_Chan","neural ectoderm anterior","Ectoderm","E6.5_8.5_Chan","E8.0",5,1,0,16,10,1,1
"93","93_E6.5_8.5_Chan","primitive heart tube","Heart","E6.5_8.5_Chan","E8.0",1,2,0,15,0,4,1
"94","94_E6.5_8.5_Chan","amnion mesoderm early","Mesoderm","E6.5_8.5_Chan","E8.0",3,2,0,17,7,1,1
"95","95_E6.5_8.5_Chan","surface ectoderm","Ectoderm","E6.5_8.5_Chan","E8.0",5,1,0,9,8,1,1
"96","96_E6.5_8.5_Chan","haematopoeitic/endothelial progenitor","Blood","E6.5_8.5_Chan","E8.0",2,2,2,0,0,1,1
"97","97_E6.5_8.5_Chan","neural crest","Neural_crest","E6.5_8.5_Chan","E8.0",5,1,0,5,10,1,1
"98","98_E6.5_8.5_Chan","posterior lateral plate mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",5,2,0,11,9,1,1
"99","99_E6.5_8.5_Chan","primitive blood early","Blood","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"100","100_E6.5_8.5_Chan","somites","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,0,8,1,1,1
"101","101_E6.5_8.5_Chan","primitive blood early","Blood","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"102","102_E6.5_8.5_Chan","NMPs early","Spinal_cord","E6.5_8.5_Chan","E8.0",0,1,0,14,0,4,1
"103","103_E6.5_8.5_Chan","amnion mesoderm early","Mesoderm","E6.5_8.5_Chan","E8.0",3,3,0,10,7,1,1
"104","104_E6.5_8.5_Chan","allantois","Mesoderm","E6.5_8.5_Chan","E8.0",1,2,0,10,9,1,1
"105","105_E6.5_8.5_Chan","angioblasts","Blood","E6.5_8.5_Chan","E8.0",4,5,3,0,0,1,1
"106","106_E6.5_8.5_Chan","preplacodal ectoderm","Ectoderm","E6.5_8.5_Chan","E8.0",5,2,0,11,1,1,1
"107","107_E6.5_8.5_Chan","posterior lateral plate mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"108","108_E6.5_8.5_Chan","visceral endoderm late","Endoderm","E6.5_8.5_Chan","E8.0",3,6,0,0,0,1,2
"109","109_E6.5_8.5_Chan","primitive blood early","Blood","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"110","110_E6.5_8.5_Chan","NMPs late","Spinal_cord","E6.5_8.5_Chan","E8.0",5,1,1,14,8,1,1
"111","111_E6.5_8.5_Chan","somites","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,1,5,9,1,1
"112","112_E6.5_8.5_Chan","neural ectoderm anterior","Ectoderm","E6.5_8.5_Chan","E8.0",5,1,0,13,10,1,1
"113","113_E6.5_8.5_Chan","neural ectoderm anterior","Ectoderm","E6.5_8.5_Chan","E8.0",5,1,0,16,10,1,1
"114","114_E6.5_8.5_Chan","gut","Gut","E6.5_8.5_Chan","E8.0",5,2,0,9,8,1,2
"115","115_E6.5_8.5_Chan","primitive blood progenitor","Blood","E6.5_8.5_Chan","E8.0",0,0,0,0,0,1,1
"116","116_E6.5_8.5_Chan","differentiated trophoblasts","Ex_ectoderm","E6.5_8.5_Chan","E8.0",1,2,0,0,0,4,1
"117","117_E6.5_8.5_Chan","preplacodal ectoderm","Ectoderm","E6.5_8.5_Chan","E8.0",0,1,0,0,0,4,1
"118","118_E6.5_8.5_Chan","surface ectoderm","Ectoderm","E6.5_8.5_Chan","E8.0",1,2,0,18,0,1,1
"119","119_E6.5_8.5_Chan","allantois","Mesoderm","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"120","120_E6.5_8.5_Chan","parietal endoderm","Endoderm","E6.5_8.5_Chan","E8.0",3,3,0,0,0,1,2
"121","121_E6.5_8.5_Chan","neural ectoderm anterior","Ectoderm","E6.5_8.5_Chan","E8.0",0,1,0,11,1,1,1
"122","122_E6.5_8.5_Chan","presomitic mesoderm","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,1,6,0,4,1
"123","123_E6.5_8.5_Chan","notochord","Mesoderm","E6.5_8.5_Chan","E8.0",5,1,4,5,1,2,2
"124","124_E6.5_8.5_Chan","haematopoeitic/endothelial progenitor","Blood","E6.5_8.5_Chan","E8.0",0,0,0,0,0,4,1
"125","125_E6.5_8.5_Chan","fore/midbrain","Brain/Neurons","E6.5_8.5_Chan","E8.5",5,1,0,13,10,1,1
"126","126_E6.5_8.5_Chan","future spinal cord","Spinal_cord","E6.5_8.5_Chan","E8.5",5,1,0,16,11,1,1
"127","127_E6.5_8.5_Chan","primitive blood late","Blood","E6.5_8.5_Chan","E8.5",0,0,0,0,0,4,1
"128","128_E6.5_8.5_Chan","somites","Mesoderm","E6.5_8.5_Chan","E8.5",5,1,0,8,1,1,1
"129","129_E6.5_8.5_Chan","primitive blood late","Blood","E6.5_8.5_Chan","E8.5",0,0,0,0,0,4,1
"130","130_E6.5_8.5_Chan","visceral endoderm late","Endoderm","E6.5_8.5_Chan","E8.5",3,6,0,0,2,4,2
"131","131_E6.5_8.5_Chan","preplacodal ectoderm","Ectoderm","E6.5_8.5_Chan","E8.5",5,2,0,11,1,1,1
"132","132_E6.5_8.5_Chan","fore/midbrain","Brain/Neurons","E6.5_8.5_Chan","E8.5",5,1,0,13,11,1,1
"133","133_E6.5_8.5_Chan","neural crest","Neural_crest","E6.5_8.5_Chan","E8.5",5,1,0,0,1,1,1
"134","134_E6.5_8.5_Chan","similar to neural crest","Neural_crest","E6.5_8.5_Chan","E8.5",5,2,0,8,1,1,1
"135","135_E6.5_8.5_Chan","posterior lateral plate mesoderm","Mesoderm","E6.5_8.5_Chan","E8.5",5,2,0,14,8,1,1
"136","136_E6.5_8.5_Chan","fore/midbrain","Brain/Neurons","E6.5_8.5_Chan","E8.5",5,1,0,16,11,1,1
"137","137_E6.5_8.5_Chan","NMPs late","Spinal_cord","E6.5_8.5_Chan","E8.5",5,1,0,14,8,1,1
"138","138_E6.5_8.5_Chan","angioblasts","Blood","E6.5_8.5_Chan","E8.5",4,5,3,0,12,1,1
"139","139_E6.5_8.5_Chan","presomitic mesoderm","Mesoderm","E6.5_8.5_Chan","E8.5",5,2,1,14,8,1,1
"140","140_E6.5_8.5_Chan","surface ectoderm","Ectoderm","E6.5_8.5_Chan","E8.5",5,2,0,9,9,1,1
"141","141_E6.5_8.5_Chan","pharyngeal arch mesoderm","Mesoderm","E6.5_8.5_Chan","E8.5",5,2,0,19,1,1,1
"142","142_E6.5_8.5_Chan","secondary heart field/splanchnic lateral plate","Heart","E6.5_8.5_Chan","E8.5",5,2,0,13,1,1,1
"143","143_E6.5_8.5_Chan","gut","Gut","E6.5_8.5_Chan","E8.5",5,2,0,11,1,1,1
"144","144_E6.5_8.5_Chan","primitive blood late","Blood","E6.5_8.5_Chan","E8.5",0,0,0,0,0,4,1
"145","145_E6.5_8.5_Chan","pharyngeal arch mesoderm","Mesoderm","E6.5_8.5_Chan","E8.5",5,2,0,11,1,1,1
"146","146_E6.5_8.5_Chan","secondary heart field/splanchnic lateral plate","Heart","E6.5_8.5_Chan","E8.5",5,2,0,11,1,1,1
"147","147_E6.5_8.5_Chan","future spinal cord","Spinal_cord","E6.5_8.5_Chan","E8.5",5,1,0,16,8,1,1
"148","148_E6.5_8.5_Chan","amnion mesoderm early","Mesoderm","E6.5_8.5_Chan","E8.5",3,7,0,17,7,1,1
"149","149_E6.5_8.5_Chan","preplacodal ectoderm","Ectoderm","E6.5_8.5_Chan","E8.5",5,2,0,5,10,1,1
"150","150_E6.5_8.5_Chan","secondary heart field/splanchnic lateral plate","Heart","E6.5_8.5_Chan","E8.5",5,2,0,15,1,1,1
"151","151_E6.5_8.5_Chan","allantois","Mesoderm","E6.5_8.5_Chan","E8.5",3,7,0,10,9,1,1
"152","152_E6.5_8.5_Chan","similar to neural crest","Neural_crest","E6.5_8.5_Chan","E8.5",0,0,0,16,0,4,1
"153","153_E6.5_8.5_Chan","primitive heart tube","Heart","E6.5_8.5_Chan","E8.5",3,3,0,13,0,4,1
"154","154_E6.5_8.5_Chan","primitive blood late","Blood","E6.5_8.5_Chan","E8.5",0,0,0,0,0,4,1
"155","155_E6.5_8.5_Chan","posterior lateral plate mesoderm","Mesoderm","E6.5_8.5_Chan","E8.5",0,0,1,0,0,4,1
"156","156_E6.5_8.5_Chan","fore/midbrain","Brain/Neurons","E6.5_8.5_Chan","E8.5",5,1,5,16,10,1,1
"157","157_E6.5_8.5_Chan","fore/midbrain","Brain/Neurons","E6.5_8.5_Chan","E8.5",5,1,0,16,11,1,1
"158","158_E6.5_8.5_Chan","similar to neural crest","Neural_crest","E6.5_8.5_Chan","E8.5",0,1,0,0,0,4,1
