"","cell_id","dataset","age","cell_ontology_class","tgfb","bmpr","notch","wnt","rna","ubi"
"1_E6.5_8.5_Chan","1_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","epiblast",1,0,0,1,1,1
"2_E6.5_8.5_Chan","2_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","ectoderm early 2",0,0,0,0,2,1
"3_E6.5_8.5_Chan","3_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","epiblast",1,0,0,1,1,1
"4_E6.5_8.5_Chan","4_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","epiblast",1,0,0,1,1,1
"5_E6.5_8.5_Chan","5_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","extraembryonic ectoderm 1",0,0,0,0,1,1
"6_E6.5_8.5_Chan","6_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","epiblast",1,0,0,1,1,1
"7_E6.5_8.5_Chan","7_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","extraembryonic ectoderm 1",2,0,0,0,1,1
"8_E6.5_8.5_Chan","8_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","extraembryonic ectoderm 1",0,0,0,0,1,1
"9_E6.5_8.5_Chan","9_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","primitive and definitive endoderm",3,1,0,2,1,1
"10_E6.5_8.5_Chan","10_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","primitive and definitive endoderm",4,1,0,3,1,1
"11_E6.5_8.5_Chan","11_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","extraembryonic ectoderm 2",2,0,0,0,1,1
"12_E6.5_8.5_Chan","12_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","extraembryonic ectoderm 2",0,0,0,0,2,1
"13_E6.5_8.5_Chan","13_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","visceral endoderm early",3,2,0,2,1,1
"14_E6.5_8.5_Chan","14_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","primitive and definitive endoderm",4,3,0,4,1,1
"15_E6.5_8.5_Chan","15_E6.5_8.5_Chan","E6.5_8.5_Chan","E6.5","parietal endoderm",3,4,0,0,2,1
"16_E6.5_8.5_Chan","16_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","extraembryonic ectoderm 1",2,0,0,0,1,1
"17_E6.5_8.5_Chan","17_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",0,0,0,0,1,1
"18_E6.5_8.5_Chan","18_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 2",0,0,0,0,2,1
"19_E6.5_8.5_Chan","19_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primitive streak early",1,5,1,1,1,1
"20_E6.5_8.5_Chan","20_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",0,0,0,1,1,1
"21_E6.5_8.5_Chan","21_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primitive streak early",1,5,0,1,1,1
"22_E6.5_8.5_Chan","22_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",1,0,0,1,1,1
"23_E6.5_8.5_Chan","23_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",0,0,0,1,1,1
"24_E6.5_8.5_Chan","24_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","streak pre-specified/anterior",0,0,0,1,1,1
"25_E6.5_8.5_Chan","25_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",1,0,0,1,1,1
"26_E6.5_8.5_Chan","26_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",1,0,0,1,1,1
"27_E6.5_8.5_Chan","27_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",1,0,0,1,1,1
"28_E6.5_8.5_Chan","28_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primitive streak early",1,5,0,0,1,1
"29_E6.5_8.5_Chan","29_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","visceral endoderm early",3,1,0,0,1,1
"30_E6.5_8.5_Chan","30_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","allantois",1,0,0,0,1,1
"31_E6.5_8.5_Chan","31_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primitive and definitive endoderm",4,6,0,3,1,1
"32_E6.5_8.5_Chan","32_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primitive streak early",0,0,0,0,2,1
"33_E6.5_8.5_Chan","33_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","haematopoeitic/endothelial progenitor",2,0,0,0,1,1
"34_E6.5_8.5_Chan","34_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","streak pre-specified/anterior",2,0,0,5,1,1
"35_E6.5_8.5_Chan","35_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","streak pre-specified/anterior",0,0,0,5,1,1
"36_E6.5_8.5_Chan","36_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","streak pre-specified/anterior",2,0,0,6,1,1
"37_E6.5_8.5_Chan","37_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","extraembryonic ectoderm 1",2,0,0,0,1,1
"38_E6.5_8.5_Chan","38_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",0,0,0,1,1,1
"39_E6.5_8.5_Chan","39_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primitive and definitive endoderm",0,0,0,2,1,1
"40_E6.5_8.5_Chan","40_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","ectoderm early 1",2,0,0,1,1,2
"41_E6.5_8.5_Chan","41_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","primordial germ cells (PGCs)",2,0,0,0,1,1
"42_E6.5_8.5_Chan","42_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","parietal endoderm",3,4,0,0,1,1
"43_E6.5_8.5_Chan","43_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.0","haematopoeitic/endothelial progenitor",0,0,0,0,2,1
"44_E6.5_8.5_Chan","44_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.5","ectoderm early 2",1,0,0,1,1,1
"45_E6.5_8.5_Chan","45_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.5","extraembryonic ectoderm 1",2,0,0,0,1,1
"46_E6.5_8.5_Chan","46_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.5","extraembryonic ectoderm 1",2,0,0,0,1,1
"47_E6.5_8.5_Chan","47_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.5","ectoderm early 2",0,0,0,0,2,1
"48_E6.5_8.5_Chan","48_E6.5_8.5_Chan","E6.5_8.5_Chan","E7.5","primitive streak late",1,0,0,0,1,1
