"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","3_E6.5_8.5_Chan",2
"3","4_E6.5_8.5_Chan",2
"4","6_E6.5_8.5_Chan",2
"5","7_E6.5_8.5_Chan",3
"6","9_E6.5_8.5_Chan",4
"7","10_E6.5_8.5_Chan",4
"8","11_E6.5_8.5_Chan",3
"9","13_E6.5_8.5_Chan",5
"10","14_E6.5_8.5_Chan",5
"11","15_E6.5_8.5_Chan",6
"12","16_E6.5_8.5_Chan",3
"13","17_E6.5_8.5_Chan",2
"14","19_E6.5_8.5_Chan",2
"15","20_E6.5_8.5_Chan",2
"16","21_E6.5_8.5_Chan",2
"17","22_E6.5_8.5_Chan",2
"18","23_E6.5_8.5_Chan",2
"19","24_E6.5_8.5_Chan",2
"20","25_E6.5_8.5_Chan",2
"21","26_E6.5_8.5_Chan",7
"22","27_E6.5_8.5_Chan",2
"23","28_E6.5_8.5_Chan",1
"24","29_E6.5_8.5_Chan",4
"25","30_E6.5_8.5_Chan",1
"26","31_E6.5_8.5_Chan",1
"27","33_E6.5_8.5_Chan",1
"28","34_E6.5_8.5_Chan",2
"29","35_E6.5_8.5_Chan",2
"30","36_E6.5_8.5_Chan",2
"31","37_E6.5_8.5_Chan",3
"32","38_E6.5_8.5_Chan",2
"33","39_E6.5_8.5_Chan",8
"34","40_E6.5_8.5_Chan",2
"35","41_E6.5_8.5_Chan",1
"36","42_E6.5_8.5_Chan",6
"37","44_E6.5_8.5_Chan",2
"38","45_E6.5_8.5_Chan",3
"39","46_E6.5_8.5_Chan",9
"40","48_E6.5_8.5_Chan",1
"41","49_E6.5_8.5_Chan",8
"42","50_E6.5_8.5_Chan",1
"43","51_E6.5_8.5_Chan",2
"44","52_E6.5_8.5_Chan",2
"45","56_E6.5_8.5_Chan",1
"46","57_E6.5_8.5_Chan",7
"47","58_E6.5_8.5_Chan",2
"48","59_E6.5_8.5_Chan",2
"49","60_E6.5_8.5_Chan",2
"50","61_E6.5_8.5_Chan",1
"51","62_E6.5_8.5_Chan",1
"52","63_E6.5_8.5_Chan",7
"53","64_E6.5_8.5_Chan",2
"54","65_E6.5_8.5_Chan",7
"55","66_E6.5_8.5_Chan",2
"56","67_E6.5_8.5_Chan",6
"57","68_E6.5_8.5_Chan",1
"58","69_E6.5_8.5_Chan",1
"59","71_E6.5_8.5_Chan",10
"60","73_E6.5_8.5_Chan",9
"61","75_E6.5_8.5_Chan",2
"62","76_E6.5_8.5_Chan",11
"63","77_E6.5_8.5_Chan",1
"64","78_E6.5_8.5_Chan",1
"65","79_E6.5_8.5_Chan",1
"66","81_E6.5_8.5_Chan",1
"67","82_E6.5_8.5_Chan",9
"68","83_E6.5_8.5_Chan",1
"69","84_E6.5_8.5_Chan",1
"70","85_E6.5_8.5_Chan",12
"71","86_E6.5_8.5_Chan",1
"72","87_E6.5_8.5_Chan",13
"73","88_E6.5_8.5_Chan",1
"74","89_E6.5_8.5_Chan",1
"75","90_E6.5_8.5_Chan",8
"76","91_E6.5_8.5_Chan",1
"77","92_E6.5_8.5_Chan",13
"78","93_E6.5_8.5_Chan",12
"79","94_E6.5_8.5_Chan",14
"80","95_E6.5_8.5_Chan",1
"81","96_E6.5_8.5_Chan",1
"82","97_E6.5_8.5_Chan",7
"83","98_E6.5_8.5_Chan",1
"84","100_E6.5_8.5_Chan",2
"85","103_E6.5_8.5_Chan",15
"86","104_E6.5_8.5_Chan",1
"87","105_E6.5_8.5_Chan",16
"88","106_E6.5_8.5_Chan",12
"89","107_E6.5_8.5_Chan",17
"90","108_E6.5_8.5_Chan",8
"91","110_E6.5_8.5_Chan",1
"92","111_E6.5_8.5_Chan",2
"93","112_E6.5_8.5_Chan",13
"94","113_E6.5_8.5_Chan",13
"95","114_E6.5_8.5_Chan",1
"96","117_E6.5_8.5_Chan",7
"97","118_E6.5_8.5_Chan",1
"98","120_E6.5_8.5_Chan",4
"99","121_E6.5_8.5_Chan",2
"100","122_E6.5_8.5_Chan",7
"101","123_E6.5_8.5_Chan",2
"102","125_E6.5_8.5_Chan",2
"103","126_E6.5_8.5_Chan",2
"104","128_E6.5_8.5_Chan",12
"105","130_E6.5_8.5_Chan",8
"106","131_E6.5_8.5_Chan",12
"107","132_E6.5_8.5_Chan",13
"108","133_E6.5_8.5_Chan",13
"109","134_E6.5_8.5_Chan",12
"110","135_E6.5_8.5_Chan",12
"111","136_E6.5_8.5_Chan",1
"112","137_E6.5_8.5_Chan",12
"113","138_E6.5_8.5_Chan",16
"114","139_E6.5_8.5_Chan",1
"115","140_E6.5_8.5_Chan",12
"116","141_E6.5_8.5_Chan",12
"117","142_E6.5_8.5_Chan",12
"118","143_E6.5_8.5_Chan",12
"119","145_E6.5_8.5_Chan",12
"120","146_E6.5_8.5_Chan",12
"121","147_E6.5_8.5_Chan",1
"122","148_E6.5_8.5_Chan",14
"123","149_E6.5_8.5_Chan",2
"124","150_E6.5_8.5_Chan",12
"125","151_E6.5_8.5_Chan",1
"126","153_E6.5_8.5_Chan",18
"127","156_E6.5_8.5_Chan",2
"128","157_E6.5_8.5_Chan",13
"129","158_E6.5_8.5_Chan",17
"130","159_E6.5_8.5_Chan",15
"131","160_E6.5_8.5_Chan",12
"132","161_E6.5_8.5_Chan",17
"133","162_E6.5_8.5_Chan",2
"134","163_E6.5_8.5_Chan",2
"135","164_E6.5_8.5_Chan",1
"136","165_E6.5_8.5_Chan",11
"137","166_E6.5_8.5_Chan",12
"138","167_E6.5_8.5_Chan",6
"139","169_E6.5_8.5_Chan",12
"140","170_E6.5_8.5_Chan",12
"141","171_E6.5_8.5_Chan",12
"142","172_E6.5_8.5_Chan",12
"143","174_E6.5_8.5_Chan",13
"144","175_E6.5_8.5_Chan",2
"145","176_E6.5_8.5_Chan",1
"146","177_E6.5_8.5_Chan",12
"147","178_E6.5_8.5_Chan",2
"148","179_E6.5_8.5_Chan",12
"149","181_E6.5_8.5_Chan",11
"150","189_E6.5_8.5_Marioni",7
"151","190_E6.5_8.5_Marioni",11
"152","192_E6.5_8.5_Marioni",2
"153","194_E6.5_8.5_Marioni",7
"154","200_E6.5_8.5_Marioni",11
"155","210_E6.5_8.5_Marioni",19
"156","211_E6.5_8.5_Marioni",7
"157","214_E6.5_8.5_Marioni",7
"158","215_E6.5_8.5_Marioni",11
"159","222_E6.5_8.5_Marioni",11
"160","223_E6.5_8.5_Marioni",7
"161","224_E6.5_8.5_Marioni",11
"162","228_E6.5_8.5_Marioni",7
"163","231_E6.5_8.5_Marioni",7
"164","239_E6.5_8.5_Marioni",13
"165","240_E6.5_8.5_Marioni",1
"166","243_E6.5_8.5_Marioni",1
"167","244_E6.5_8.5_Marioni",7
"168","245_E6.5_8.5_Marioni",7
"169","246_E6.5_8.5_Marioni",9
"170","247_E6.5_8.5_Marioni",17
"171","248_E6.5_8.5_Marioni",13
"172","249_E6.5_8.5_Marioni",11
"173","250_E6.5_8.5_Marioni",13
"174","251_E6.5_8.5_Marioni",9
"175","252_E6.5_8.5_Marioni",13
"176","253_E6.5_8.5_Marioni",9
"177","254_E6.5_8.5_Marioni",13
"178","255_E6.5_8.5_Marioni",13
"179","256_E6.5_8.5_Marioni",11
"180","257_E6.5_8.5_Marioni",11
"181","258_E6.5_8.5_Marioni",13
"182","260_E6.5_8.5_Marioni",7
"183","261_E6.5_8.5_Marioni",1
"184","262_E6.5_8.5_Marioni",7
"185","263_E6.5_8.5_Marioni",7
"186","264_E6.5_8.5_Marioni",17
"187","265_E6.5_8.5_Marioni",1
"188","266_E6.5_8.5_Marioni",13
"189","267_E6.5_8.5_Marioni",13
"190","268_E6.5_8.5_Marioni",19
"191","269_E6.5_8.5_Marioni",13
"192","270_E6.5_8.5_Marioni",13
"193","272_E6.5_8.5_Marioni",11
"194","273_E6.5_8.5_Marioni",7
"195","275_E6.5_8.5_Marioni",9
"196","276_E6.5_8.5_Marioni",13
"197","277_E6.5_8.5_Marioni",13
"198","278_E6.5_8.5_Marioni",13
"199","279_E6.5_8.5_Marioni",2
"200","280_E6.5_8.5_Marioni",13
"201","282_E6.5_8.5_Marioni",11
"202","283_E6.5_8.5_Marioni",17
"203","284_E6.5_8.5_Marioni",7
"204","285_E6.5_8.5_Marioni",13
"205","286_E6.5_8.5_Marioni",9
"206","287_E6.5_8.5_Marioni",13
"207","288_E6.5_8.5_Marioni",13
"208","289_E6.5_8.5_Marioni",13
"209","291_E6.5_8.5_Marioni",13
"210","292_E6.5_8.5_Marioni",7
"211","293_E6.5_8.5_Marioni",7
"212","294_E6.5_8.5_Marioni",13
"213","295_E6.5_8.5_Marioni",13
"214","297_E6.5_8.5_Marioni",13
"215","298_E6.5_8.5_Marioni",13
"216","299_E6.5_8.5_Marioni",7
"217","300_E6.5_8.5_Marioni",17
"218","301_E6.5_8.5_Marioni",17
"219","302_E6.5_8.5_Marioni",13
"220","304_E6.5_8.5_Marioni",11
"221","307_E6.5_8.5_Marioni",13
"222","308_E6.5_8.5_Marioni",17
"223","310_E6.5_8.5_Marioni",13
"224","311_E6.5_8.5_Marioni",13
"225","312_E6.5_8.5_Marioni",13
"226","313_E6.5_8.5_Marioni",13
"227","314_E6.5_8.5_Marioni",12
"228","315_E6.5_8.5_Marioni",7
"229","316_E5.5_Nowotschin",14
"230","319_E5.5_Nowotschin",3
"231","320_E5.5_Nowotschin",14
"232","321_E5.5_Nowotschin",14
"233","324_E5.5_Nowotschin",3
"234","326_E5.5_Nowotschin",5
"235","327_E5.5_Nowotschin",14
"236","328_E5.5_Nowotschin",15
"237","329_E5.5_Nowotschin",3
"238","330_E5.5_Nowotschin",5
"239","332_E5.5_Nowotschin",3
"240","334_E5.5_Nowotschin",3
"241","335_E5.5_Nowotschin",10
"242","336_18m 10x",20
"243","337_18m 10x",21
"244","338_18m 10x",22
"245","340_1m 10x",20
"246","341_1m 10x",21
"247","342_1m 10x",22
"248","344_24m 10x",20
"249","345_24m 10x",21
"250","346_24m 10x",22
"251","348_3m 10x",20
"252","349_3m 10x",21
"253","350_3m 10x",23
"254","353_18m 10x",24
"255","354_18m 10x",25
"256","356_18m 10x",26
"257","360_21m 10x",24
"258","361_21m 10x",20
"259","362_21m 10x",26
"260","366_30m 10x",24
"261","368_30m 10x",22
"262","372_18m 10x",22
"263","373_18m 10x",24
"264","374_18m 10x",22
"265","375_18m 10x",27
"266","376_18m 10x",28
"267","378_1m 10x",22
"268","379_1m 10x",24
"269","380_1m 10x",22
"270","382_1m 10x",22
"271","383_21m 10x",25
"272","384_21m 10x",22
"273","385_21m 10x",24
"274","386_21m 10x",22
"275","388_24m 10x",22
"276","389_24m 10x",24
"277","390_24m 10x",22
"278","391_24m 10x",27
"279","392_24m 10x",22
"280","394_30m 10x",22
"281","395_30m 10x",24
"282","396_30m 10x",24
"283","397_30m 10x",22
"284","400_30m 10x",22
"285","401_3m 10x",25
"286","402_3m 10x",4
"287","403_3m 10x",23
"288","404_3m 10x",4
"289","407_18m 10x",19
"290","408_18m 10x",29
"291","409_18m 10x",23
"292","410_18m 10x",26
"293","411_18m 10x",30
"294","412_18m 10x",31
"295","413_18m 10x",32
"296","414_18m 10x",29
"297","415_18m 10x",32
"298","416_18m 10x",8
"299","417_18m 10x",29
"300","420_18m 10x",8
"301","423_1m 10x",32
"302","424_1m 10x",23
"303","425_1m 10x",24
"304","426_1m 10x",30
"305","427_1m 10x",31
"306","429_1m 10x",32
"307","430_1m 10x",33
"308","431_1m 10x",8
"309","432_1m 10x",29
"310","434_1m 10x",8
"311","436_21m 10x",29
"312","438_21m 10x",31
"313","439_21m 10x",30
"314","440_21m 10x",31
"315","441_21m 10x",33
"316","442_21m 10x",33
"317","443_21m 10x",8
"318","444_21m 10x",29
"319","447_21m 10x",33
"320","458_30m 10x",23
"321","459_30m 10x",22
"322","460_30m 10x",30
"323","461_30m 10x",31
"324","462_30m 10x",33
"325","463_30m 10x",34
"326","464_30m 10x",33
"327","465_30m 10x",29
"328","469_30m 10x",33
"329","472_3m 10x",23
"330","473_3m 10x",23
"331","474_3m 10x",30
"332","475_3m 10x",31
"333","476_3m 10x",35
"334","478_3m 10x",32
"335","479_3m 10x",8
"336","480_3m 10x",29
"337","484_3m 10x",8
"338","485_30m 10x",36
"339","486_30m 10x",36
"340","488_30m 10x",36
"341","489_30m 10x",36
"342","490_18m 10x",24
"343","491_18m 10x",27
"344","492_18m 10x",37
"345","493_18m 10x",20
"346","494_18m 10x",37
"347","495_18m 10x",37
"348","498_1m 10x",24
"349","499_1m 10x",27
"350","500_1m 10x",37
"351","501_1m 10x",20
"352","502_1m 10x",37
"353","503_1m 10x",37
