"","cell_id","class_label"
"1","9_E6.5_8.5_Chan",1
"2","10_E6.5_8.5_Chan",1
"3","13_E6.5_8.5_Chan",2
"4","14_E6.5_8.5_Chan",3
"5","15_E6.5_8.5_Chan",4
"6","19_E6.5_8.5_Chan",5
"7","21_E6.5_8.5_Chan",5
"8","28_E6.5_8.5_Chan",5
"9","29_E6.5_8.5_Chan",1
"10","31_E6.5_8.5_Chan",6
"11","42_E6.5_8.5_Chan",7
"12","71_E6.5_8.5_Chan",8
"13","79_E6.5_8.5_Chan",5
"14","91_E6.5_8.5_Chan",9
"15","94_E6.5_8.5_Chan",10
"16","96_E6.5_8.5_Chan",11
"17","103_E6.5_8.5_Chan",6
"18","104_E6.5_8.5_Chan",12
"19","105_E6.5_8.5_Chan",13
"20","106_E6.5_8.5_Chan",5
"21","120_E6.5_8.5_Chan",1
"22","125_E6.5_8.5_Chan",5
"23","131_E6.5_8.5_Chan",5
"24","132_E6.5_8.5_Chan",5
"25","134_E6.5_8.5_Chan",5
"26","135_E6.5_8.5_Chan",5
"27","138_E6.5_8.5_Chan",13
"28","141_E6.5_8.5_Chan",5
"29","142_E6.5_8.5_Chan",5
"30","143_E6.5_8.5_Chan",5
"31","145_E6.5_8.5_Chan",5
"32","146_E6.5_8.5_Chan",5
"33","148_E6.5_8.5_Chan",9
"34","149_E6.5_8.5_Chan",14
"35","150_E6.5_8.5_Chan",12
"36","151_E6.5_8.5_Chan",9
"37","153_E6.5_8.5_Chan",6
"38","156_E6.5_8.5_Chan",5
"39","159_E6.5_8.5_Chan",9
"40","160_E6.5_8.5_Chan",5
"41","166_E6.5_8.5_Chan",12
"42","167_E6.5_8.5_Chan",7
"43","170_E6.5_8.5_Chan",10
"44","171_E6.5_8.5_Chan",5
"45","175_E6.5_8.5_Chan",14
"46","178_E6.5_8.5_Chan",5
"47","319_E5.5_Nowotschin",15
"48","324_E5.5_Nowotschin",15
"49","326_E5.5_Nowotschin",16
"50","327_E5.5_Nowotschin",10
"51","328_E5.5_Nowotschin",16
"52","330_E5.5_Nowotschin",16
"53","335_E5.5_Nowotschin",11
"54","338_18m 10x",17
"55","340_1m 10x",18
"56","341_1m 10x",19
"57","342_1m 10x",20
"58","344_24m 10x",18
"59","345_24m 10x",21
"60","346_24m 10x",20
"61","348_3m 10x",18
"62","349_3m 10x",21
"63","350_3m 10x",22
"64","353_18m 10x",23
"65","354_18m 10x",24
"66","356_18m 10x",25
"67","360_21m 10x",26
"68","362_21m 10x",25
"69","366_30m 10x",23
"70","368_30m 10x",27
"71","372_18m 10x",28
"72","373_18m 10x",23
"73","374_18m 10x",27
"74","376_18m 10x",29
"75","378_1m 10x",28
"76","379_1m 10x",23
"77","383_21m 10x",30
"78","384_21m 10x",28
"79","385_21m 10x",23
"80","389_24m 10x",26
"81","394_30m 10x",28
"82","395_30m 10x",23
"83","396_30m 10x",23
"84","400_30m 10x",31
"85","401_3m 10x",2
"86","402_3m 10x",32
"87","403_3m 10x",33
"88","404_3m 10x",28
"89","407_18m 10x",34
"90","409_18m 10x",35
"91","411_18m 10x",36
"92","416_18m 10x",37
"93","420_18m 10x",24
"94","425_1m 10x",38
"95","426_1m 10x",39
"96","431_1m 10x",24
"97","434_1m 10x",24
"98","436_21m 10x",30
"99","438_21m 10x",40
"100","442_21m 10x",41
"101","443_21m 10x",42
"102","447_21m 10x",31
"103","458_30m 10x",40
"104","459_30m 10x",43
"105","460_30m 10x",39
"106","461_30m 10x",44
