"","cell_id","class_label"
"1","8_E6.5_8.5_Chan",1
"2","9_E6.5_8.5_Chan",2
"3","10_E6.5_8.5_Chan",2
"4","11_E6.5_8.5_Chan",1
"5","13_E6.5_8.5_Chan",2
"6","14_E6.5_8.5_Chan",2
"7","15_E6.5_8.5_Chan",3
"8","16_E6.5_8.5_Chan",1
"9","29_E6.5_8.5_Chan",4
"10","31_E6.5_8.5_Chan",5
"11","39_E6.5_8.5_Chan",5
"12","45_E6.5_8.5_Chan",1
"13","46_E6.5_8.5_Chan",1
"14","49_E6.5_8.5_Chan",4
"15","50_E6.5_8.5_Chan",5
"16","68_E6.5_8.5_Chan",5
"17","76_E6.5_8.5_Chan",5
"18","82_E6.5_8.5_Chan",1
"19","85_E6.5_8.5_Chan",5
"20","90_E6.5_8.5_Chan",4
"21","91_E6.5_8.5_Chan",5
"22","93_E6.5_8.5_Chan",5
"23","96_E6.5_8.5_Chan",2
"24","103_E6.5_8.5_Chan",5
"25","106_E6.5_8.5_Chan",5
"26","108_E6.5_8.5_Chan",4
"27","114_E6.5_8.5_Chan",5
"28","118_E6.5_8.5_Chan",5
"29","123_E6.5_8.5_Chan",5
"30","124_E6.5_8.5_Chan",2
"31","129_E6.5_8.5_Chan",5
"32","130_E6.5_8.5_Chan",4
"33","131_E6.5_8.5_Chan",5
"34","138_E6.5_8.5_Chan",2
"35","140_E6.5_8.5_Chan",5
"36","143_E6.5_8.5_Chan",5
"37","145_E6.5_8.5_Chan",6
"38","153_E6.5_8.5_Chan",5
"39","156_E6.5_8.5_Chan",6
"40","157_E6.5_8.5_Chan",6
"41","159_E6.5_8.5_Chan",4
"42","164_E6.5_8.5_Chan",2
"43","166_E6.5_8.5_Chan",5
"44","167_E6.5_8.5_Chan",6
"45","168_E6.5_8.5_Chan",5
"46","170_E6.5_8.5_Chan",5
"47","171_E6.5_8.5_Chan",6
"48","172_E6.5_8.5_Chan",6
"49","176_E6.5_8.5_Chan",6
"50","179_E6.5_8.5_Chan",1
"51","181_E6.5_8.5_Chan",7
"52","202_E6.5_8.5_Marioni",2
"53","318_E5.5_Nowotschin",8
"54","319_E5.5_Nowotschin",1
"55","322_E5.5_Nowotschin",8
"56","323_E5.5_Nowotschin",8
"57","324_E5.5_Nowotschin",1
"58","325_E5.5_Nowotschin",8
"59","326_E5.5_Nowotschin",8
"60","327_E5.5_Nowotschin",8
"61","328_E5.5_Nowotschin",8
"62","329_E5.5_Nowotschin",1
"63","330_E5.5_Nowotschin",8
"64","331_E5.5_Nowotschin",8
"65","332_E5.5_Nowotschin",1
"66","333_E5.5_Nowotschin",8
"67","335_E5.5_Nowotschin",1
"68","336_18m 10x",9
"69","338_18m 10x",9
"70","339_18m 10x",10
"71","340_1m 10x",11
"72","341_1m 10x",12
"73","342_1m 10x",13
"74","343_1m 10x",14
"75","344_24m 10x",11
"76","345_24m 10x",12
"77","346_24m 10x",15
"78","347_24m 10x",10
"79","348_3m 10x",11
"80","349_3m 10x",12
"81","350_3m 10x",16
"82","351_3m 10x",10
"83","352_18m 10x",17
"84","353_18m 10x",18
"85","354_18m 10x",19
"86","355_18m 10x",20
"87","356_18m 10x",11
"88","357_18m 10x",21
"89","358_18m 10x",22
"90","359_21m 10x",23
"91","360_21m 10x",18
"92","361_21m 10x",24
"93","362_21m 10x",11
"94","363_21m 10x",10
"95","364_21m 10x",22
"96","365_30m 10x",17
"97","366_30m 10x",18
"98","367_30m 10x",20
"99","368_30m 10x",11
"100","369_30m 10x",21
"101","370_30m 10x",22
"102","371_18m 10x",25
"103","372_18m 10x",26
"104","373_18m 10x",13
"105","374_18m 10x",19
"106","375_18m 10x",21
"107","376_18m 10x",27
"108","377_1m 10x",25
"109","378_1m 10x",28
"110","379_1m 10x",13
"111","380_1m 10x",27
"112","381_1m 10x",21
"113","382_1m 10x",29
"114","383_21m 10x",7
"115","384_21m 10x",26
"116","385_21m 10x",13
"117","386_21m 10x",19
"118","387_21m 10x",21
"119","388_24m 10x",26
