"","cell_id","class_label"
"1","9_E6.5_8.5_Chan",1
"2","10_E6.5_8.5_Chan",2
"3","13_E6.5_8.5_Chan",3
"4","14_E6.5_8.5_Chan",3
"5","24_E6.5_8.5_Chan",1
"6","31_E6.5_8.5_Chan",2
"7","56_E6.5_8.5_Chan",4
"8","61_E6.5_8.5_Chan",5
"9","68_E6.5_8.5_Chan",2
"10","70_E6.5_8.5_Chan",1
"11","75_E6.5_8.5_Chan",6
"12","77_E6.5_8.5_Chan",5
"13","79_E6.5_8.5_Chan",4
"14","81_E6.5_8.5_Chan",7
"15","83_E6.5_8.5_Chan",8
"16","84_E6.5_8.5_Chan",9
"17","85_E6.5_8.5_Chan",10
"18","86_E6.5_8.5_Chan",9
"19","87_E6.5_8.5_Chan",2
"20","88_E6.5_8.5_Chan",11
"21","92_E6.5_8.5_Chan",7
"22","93_E6.5_8.5_Chan",10
"23","94_E6.5_8.5_Chan",4
"24","95_E6.5_8.5_Chan",5
"25","110_E6.5_8.5_Chan",9
"26","112_E6.5_8.5_Chan",7
"27","114_E6.5_8.5_Chan",8
"28","121_E6.5_8.5_Chan",4
"29","123_E6.5_8.5_Chan",2
"30","125_E6.5_8.5_Chan",7
"31","131_E6.5_8.5_Chan",5
"32","132_E6.5_8.5_Chan",7
"33","136_E6.5_8.5_Chan",10
"34","137_E6.5_8.5_Chan",9
"35","139_E6.5_8.5_Chan",9
"36","140_E6.5_8.5_Chan",5
"37","141_E6.5_8.5_Chan",12
"38","142_E6.5_8.5_Chan",7
"39","145_E6.5_8.5_Chan",11
"40","146_E6.5_8.5_Chan",4
"41","150_E6.5_8.5_Chan",10
"42","153_E6.5_8.5_Chan",7
"43","156_E6.5_8.5_Chan",4
"44","160_E6.5_8.5_Chan",5
"45","162_E6.5_8.5_Chan",7
"46","166_E6.5_8.5_Chan",8
"47","171_E6.5_8.5_Chan",7
"48","172_E6.5_8.5_Chan",7
"49","178_E6.5_8.5_Chan",2
"50","247_E6.5_8.5_Marioni",10
"51","248_E6.5_8.5_Marioni",1
"52","267_E6.5_8.5_Marioni",1
"53","280_E6.5_8.5_Marioni",10
"54","283_E6.5_8.5_Marioni",10
"55","285_E6.5_8.5_Marioni",8
"56","291_E6.5_8.5_Marioni",9
"57","326_E5.5_Nowotschin",3
"58","328_E5.5_Nowotschin",3
"59","330_E5.5_Nowotschin",3
"60","333_E5.5_Nowotschin",1
"61","341_1m 10x",13
"62","342_1m 10x",14
"63","349_3m 10x",13
"64","350_3m 10x",14
"65","353_18m 10x",15
"66","360_21m 10x",16
"67","366_30m 10x",16
"68","372_18m 10x",17
"69","373_18m 10x",15
"70","378_1m 10x",17
"71","379_1m 10x",15
"72","384_21m 10x",17
"73","385_21m 10x",15
"74","388_24m 10x",17
"75","389_24m 10x",15
"76","394_30m 10x",17
"77","395_30m 10x",15
"78","396_30m 10x",15
"79","402_3m 10x",17
"80","403_3m 10x",15
"81","409_18m 10x",15
"82","410_18m 10x",18
"83","412_18m 10x",19
"84","415_18m 10x",20
"85","416_18m 10x",14
"86","420_18m 10x",21
"87","424_1m 10x",15
"88","425_1m 10x",15
"89","427_1m 10x",19
"90","429_1m 10x",20
"91","430_1m 10x",20
"92","431_1m 10x",14
"93","434_1m 10x",21
"94","438_21m 10x",15
"95","440_21m 10x",19
"96","447_21m 10x",21
"97","458_30m 10x",15
"98","460_30m 10x",20
"99","461_30m 10x",19
"100","464_30m 10x",20
"101","472_3m 10x",15
"102","473_3m 10x",16
"103","477_3m 10x",20
"104","478_3m 10x",20
"105","484_3m 10x",21
"106","488_30m 10x",20
"107","489_30m 10x",20
"108","493_18m 10x",22
"109","498_1m 10x",16
"110","506_21m 10x",16
"111","513_24m 10x",16
"112","516_24m 10x",22
"113","522_30m 10x",16
"114","531_3m 10x",16
"115","556_18m 10x",18
"116","559_18m 10x",19
"117","572_18m 10x",23
"118","576_1m 10x",19
"119","580_1m 10x",24
"120","586_21m 10x",18
"121","590_21m 10x",19
"122","594_21m 10x",24
"123","604_30m 10x",19
"124","620_3m 10x",19
"125","625_3m 10x",24
"126","631_3m 10x",23
"127","640_21m 10x",3
"128","647_3m 10x",3
"129","741_18m 10x",14
"130","759_18m 10x",25
"131","760_21m 10x",25
"132","761_21m 10x",25
"133","762_21m 10x",25
"134","763_21m 10x",25
"135","834_18m 10x",26
"136","835_1m 10x",26
"137","836_1m 10x",26
"138","837_24m 10x",26
"139","838_24m 10x",26
"140","840_3m 10x",26
"141","841_3m 10x",26
"142","843_3m 10x",13
"143","845_3m 10x",27
"144","846_3m 10x",16
"145","848_3m 10x",27
"146","853_3m 10x",11
"147","857_Forelimb_E10.5_15.0",5
"148","858_Forelimb_E10.5_15.0",12
"149","860_Forelimb_E10.5_15.0",12
"150","863_Forelimb_E10.5_15.0",5
"151","865_Forelimb_E10.5_15.0",12
"152","868_Forelimb_E10.5_15.0",12
"153","871_Forelimb_E10.5_15.0",5
"154","872_Forelimb_E10.5_15.0",28
"155","873_Forelimb_E10.5_15.0",28
"156","877_Forelimb_E10.5_15.0",12
"157","878_Forelimb_E10.5_15.0",28
"158","879_Forelimb_E10.5_15.0",12
"159","880_Forelimb_E10.5_15.0",12
"160","881_Forelimb_E10.5_15.0",14
"161","882_Forelimb_E10.5_15.0",5
"162","883_Forelimb_E10.5_15.0",5
"163","884_Forelimb_E10.5_15.0",12
"164","887_Forelimb_E10.5_15.0",28
"165","888_Forelimb_E10.5_15.0",28
"166","892_Forelimb_E10.5_15.0",12
"167","893_Forelimb_E10.5_15.0",28
"168","894_Forelimb_E10.5_15.0",28
"169","895_Forelimb_E10.5_15.0",14
"170","897_Forelimb_E10.5_15.0",5
"171","898_Forelimb_E10.5_15.0",12
"172","899_Forelimb_E10.5_15.0",12
"173","900_Forelimb_E10.5_15.0",12
"174","902_Forelimb_E10.5_15.0",28
"175","906_Forelimb_E10.5_15.0",29
"176","907_Forelimb_E10.5_15.0",28
"177","908_Forelimb_E10.5_15.0",28
"178","909_Forelimb_E10.5_15.0",28
"179","911_Forelimb_E10.5_15.0",5
"180","912_Forelimb_E10.5_15.0",5
"181","913_Forelimb_E10.5_15.0",12
"182","914_Forelimb_E10.5_15.0",12
"183","915_Forelimb_E10.5_15.0",12
"184","916_Forelimb_E10.5_15.0",28
"185","918_Forelimb_E10.5_15.0",12
"186","922_Forelimb_E10.5_15.0",29
"187","923_Forelimb_E10.5_15.0",28
"188","924_Forelimb_E10.5_15.0",28
"189","925_Forelimb_E10.5_15.0",28
"190","926_Forelimb_E10.5_15.0",28
"191","928_Forelimb_E10.5_15.0",14
"192","929_Forelimb_E10.5_15.0",5
"193","930_Forelimb_E10.5_15.0",5
"194","931_Forelimb_E10.5_15.0",12
"195","932_Forelimb_E10.5_15.0",12
"196","933_Forelimb_E10.5_15.0",12
"197","934_Forelimb_E10.5_15.0",28
"198","936_Forelimb_E10.5_15.0",12
"199","940_Forelimb_E10.5_15.0",29
"200","942_Forelimb_E10.5_15.0",28
"201","944_Forelimb_E10.5_15.0",28
"202","972_E9.5_11.5_Tang",28
"203","1023_FACS 18m",30
"204","1081_FACS 24m",30
"205","1087_FACS 24m",31
"206","1139_FACS 3m",20
"207","1171_FACS 3m",20
"208","1181_FACS 3m",25
"209","1182_FACS 3m",31
"210","1183_FACS 3m",22
"211","1200_FACS 3m",25
