"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","5_E6.5_8.5_Chan",2
"3","6_E6.5_8.5_Chan",3
"4","8_E6.5_8.5_Chan",2
"5","9_E6.5_8.5_Chan",4
"6","10_E6.5_8.5_Chan",5
"7","13_E6.5_8.5_Chan",4
"8","14_E6.5_8.5_Chan",5
"9","16_E6.5_8.5_Chan",2
"10","17_E6.5_8.5_Chan",1
"11","19_E6.5_8.5_Chan",6
"12","21_E6.5_8.5_Chan",6
"13","24_E6.5_8.5_Chan",1
"14","28_E6.5_8.5_Chan",6
"15","31_E6.5_8.5_Chan",5
"16","32_E6.5_8.5_Chan",7
"17","34_E6.5_8.5_Chan",8
"18","35_E6.5_8.5_Chan",1
"19","36_E6.5_8.5_Chan",1
"20","37_E6.5_8.5_Chan",2
"21","39_E6.5_8.5_Chan",4
"22","41_E6.5_8.5_Chan",9
"23","44_E6.5_8.5_Chan",5
"24","45_E6.5_8.5_Chan",2
"25","48_E6.5_8.5_Chan",9
"26","50_E6.5_8.5_Chan",10
"27","52_E6.5_8.5_Chan",1
"28","54_E6.5_8.5_Chan",6
"29","56_E6.5_8.5_Chan",11
"30","61_E6.5_8.5_Chan",11
"31","65_E6.5_8.5_Chan",7
"32","66_E6.5_8.5_Chan",11
"33","67_E6.5_8.5_Chan",12
"34","68_E6.5_8.5_Chan",5
"35","69_E6.5_8.5_Chan",10
"36","70_E6.5_8.5_Chan",3
"37","75_E6.5_8.5_Chan",12
"38","77_E6.5_8.5_Chan",9
"39","79_E6.5_8.5_Chan",5
"40","81_E6.5_8.5_Chan",13
"41","83_E6.5_8.5_Chan",9
"42","84_E6.5_8.5_Chan",14
"43","85_E6.5_8.5_Chan",15
"44","86_E6.5_8.5_Chan",6
"45","87_E6.5_8.5_Chan",5
"46","88_E6.5_8.5_Chan",11
"47","89_E6.5_8.5_Chan",11
"48","91_E6.5_8.5_Chan",10
"49","92_E6.5_8.5_Chan",16
"50","93_E6.5_8.5_Chan",15
"51","94_E6.5_8.5_Chan",10
"52","95_E6.5_8.5_Chan",9
"53","97_E6.5_8.5_Chan",5
"54","98_E6.5_8.5_Chan",11
"55","100_E6.5_8.5_Chan",8
"56","102_E6.5_8.5_Chan",14
"57","103_E6.5_8.5_Chan",10
"58","104_E6.5_8.5_Chan",10
"59","106_E6.5_8.5_Chan",11
"60","110_E6.5_8.5_Chan",14
"61","111_E6.5_8.5_Chan",5
"62","112_E6.5_8.5_Chan",13
"63","113_E6.5_8.5_Chan",16
"64","114_E6.5_8.5_Chan",9
"65","118_E6.5_8.5_Chan",17
"66","121_E6.5_8.5_Chan",11
"67","122_E6.5_8.5_Chan",6
"68","123_E6.5_8.5_Chan",5
"69","125_E6.5_8.5_Chan",13
"70","126_E6.5_8.5_Chan",16
"71","128_E6.5_8.5_Chan",8
"72","131_E6.5_8.5_Chan",11
"73","132_E6.5_8.5_Chan",13
"74","134_E6.5_8.5_Chan",8
"75","135_E6.5_8.5_Chan",14
"76","136_E6.5_8.5_Chan",16
"77","137_E6.5_8.5_Chan",14
"78","139_E6.5_8.5_Chan",14
"79","140_E6.5_8.5_Chan",9
"80","141_E6.5_8.5_Chan",18
"81","142_E6.5_8.5_Chan",13
"82","143_E6.5_8.5_Chan",11
"83","145_E6.5_8.5_Chan",11
"84","146_E6.5_8.5_Chan",11
"85","147_E6.5_8.5_Chan",16
"86","148_E6.5_8.5_Chan",10
"87","149_E6.5_8.5_Chan",5
"88","150_E6.5_8.5_Chan",15
"89","151_E6.5_8.5_Chan",10
"90","152_E6.5_8.5_Chan",16
"91","153_E6.5_8.5_Chan",13
"92","156_E6.5_8.5_Chan",16
"93","157_E6.5_8.5_Chan",16
"94","159_E6.5_8.5_Chan",10
"95","160_E6.5_8.5_Chan",11
"96","162_E6.5_8.5_Chan",13
"97","163_E6.5_8.5_Chan",5
"98","166_E6.5_8.5_Chan",9
"99","167_E6.5_8.5_Chan",12
"100","169_E6.5_8.5_Chan",14
"101","170_E6.5_8.5_Chan",17
"102","171_E6.5_8.5_Chan",13
"103","172_E6.5_8.5_Chan",13
"104","175_E6.5_8.5_Chan",11
"105","176_E6.5_8.5_Chan",11
"106","177_E6.5_8.5_Chan",8
"107","178_E6.5_8.5_Chan",5
"108","194_E6.5_8.5_Marioni",7
"109","198_E6.5_8.5_Marioni",2
"110","201_E6.5_8.5_Marioni",1
"111","206_E6.5_8.5_Marioni",1
"112","209_E6.5_8.5_Marioni",1
"113","211_E6.5_8.5_Marioni",7
"114","214_E6.5_8.5_Marioni",1
"115","216_E6.5_8.5_Marioni",1
"116","218_E6.5_8.5_Marioni",2
"117","221_E6.5_8.5_Marioni",1
"118","223_E6.5_8.5_Marioni",7
"119","227_E6.5_8.5_Marioni",1
"120","228_E6.5_8.5_Marioni",7
"121","234_E6.5_8.5_Marioni",1
"122","236_E6.5_8.5_Marioni",7
"123","240_E6.5_8.5_Marioni",10
"124","247_E6.5_8.5_Marioni",15
"125","248_E6.5_8.5_Marioni",3
"126","250_E6.5_8.5_Marioni",14
"127","254_E6.5_8.5_Marioni",6
"128","262_E6.5_8.5_Marioni",9
"129","264_E6.5_8.5_Marioni",15
"130","267_E6.5_8.5_Marioni",3
"131","270_E6.5_8.5_Marioni",6
"132","271_E6.5_8.5_Marioni",14
"133","273_E6.5_8.5_Marioni",10
"134","277_E6.5_8.5_Marioni",4
"135","279_E6.5_8.5_Marioni",10
"136","280_E6.5_8.5_Marioni",15
"137","283_E6.5_8.5_Marioni",15
"138","284_E6.5_8.5_Marioni",9
"139","285_E6.5_8.5_Marioni",9
"140","287_E6.5_8.5_Marioni",14
"141","291_E6.5_8.5_Marioni",6
"142","293_E6.5_8.5_Marioni",10
"143","297_E6.5_8.5_Marioni",15
"144","298_E6.5_8.5_Marioni",8
"145","299_E6.5_8.5_Marioni",10
"146","301_E6.5_8.5_Marioni",15
"147","302_E6.5_8.5_Marioni",9
"148","303_E6.5_8.5_Marioni",14
"149","308_E6.5_8.5_Marioni",10
"150","310_E6.5_8.5_Marioni",15
"151","313_E6.5_8.5_Marioni",14
"152","314_E6.5_8.5_Marioni",10
"153","319_E5.5_Nowotschin",2
"154","324_E5.5_Nowotschin",2
"155","326_E5.5_Nowotschin",4
"156","328_E5.5_Nowotschin",5
"157","329_E5.5_Nowotschin",2
"158","330_E5.5_Nowotschin",4
"159","332_E5.5_Nowotschin",2
"160","333_E5.5_Nowotschin",3
"161","334_E5.5_Nowotschin",2
"162","337_18m 10x",19
"163","338_18m 10x",20
"164","340_1m 10x",21
"165","341_1m 10x",19
"166","342_1m 10x",22
