"","cell_id","class_label"
"1","5_E6.5_8.5_Chan",1
"2","7_E6.5_8.5_Chan",1
"3","8_E6.5_8.5_Chan",1
"4","10_E6.5_8.5_Chan",2
"5","11_E6.5_8.5_Chan",3
"6","12_E6.5_8.5_Chan",3
"7","14_E6.5_8.5_Chan",2
"8","15_E6.5_8.5_Chan",2
"9","16_E6.5_8.5_Chan",1
"10","21_E6.5_8.5_Chan",4
"11","28_E6.5_8.5_Chan",5
"12","30_E6.5_8.5_Chan",5
"13","31_E6.5_8.5_Chan",6
"14","33_E6.5_8.5_Chan",7
"15","37_E6.5_8.5_Chan",1
"16","40_E6.5_8.5_Chan",8
"17","42_E6.5_8.5_Chan",9
"18","43_E6.5_8.5_Chan",7
"19","45_E6.5_8.5_Chan",1
"20","46_E6.5_8.5_Chan",1
"21","48_E6.5_8.5_Chan",5
"22","50_E6.5_8.5_Chan",5
"23","56_E6.5_8.5_Chan",5
"24","57_E6.5_8.5_Chan",10
"25","58_E6.5_8.5_Chan",5
"26","60_E6.5_8.5_Chan",8
"27","63_E6.5_8.5_Chan",8
"28","68_E6.5_8.5_Chan",11
"29","69_E6.5_8.5_Chan",5
"30","71_E6.5_8.5_Chan",3
"31","78_E6.5_8.5_Chan",12
"32","79_E6.5_8.5_Chan",11
"33","81_E6.5_8.5_Chan",8
"34","82_E6.5_8.5_Chan",1
"35","83_E6.5_8.5_Chan",4
"36","85_E6.5_8.5_Chan",13
"37","86_E6.5_8.5_Chan",14
"38","87_E6.5_8.5_Chan",5
"39","88_E6.5_8.5_Chan",4
"40","89_E6.5_8.5_Chan",10
"41","92_E6.5_8.5_Chan",8
"42","93_E6.5_8.5_Chan",13
"43","94_E6.5_8.5_Chan",13
"44","98_E6.5_8.5_Chan",5
"45","99_E6.5_8.5_Chan",15
"46","100_E6.5_8.5_Chan",10
"47","102_E6.5_8.5_Chan",12
"48","103_E6.5_8.5_Chan",16
"49","104_E6.5_8.5_Chan",13
"50","106_E6.5_8.5_Chan",11
"51","107_E6.5_8.5_Chan",7
"52","108_E6.5_8.5_Chan",9
"53","110_E6.5_8.5_Chan",17
"54","111_E6.5_8.5_Chan",18
"55","112_E6.5_8.5_Chan",8
"56","114_E6.5_8.5_Chan",19
"57","115_E6.5_8.5_Chan",15
"58","116_E6.5_8.5_Chan",3
"59","118_E6.5_8.5_Chan",20
"60","120_E6.5_8.5_Chan",9
"61","121_E6.5_8.5_Chan",19
"62","125_E6.5_8.5_Chan",10
"63","126_E6.5_8.5_Chan",12
"64","128_E6.5_8.5_Chan",14
"65","131_E6.5_8.5_Chan",11
"66","132_E6.5_8.5_Chan",17
"67","134_E6.5_8.5_Chan",5
"68","135_E6.5_8.5_Chan",4
"69","136_E6.5_8.5_Chan",8
"70","139_E6.5_8.5_Chan",14
"71","140_E6.5_8.5_Chan",21
"72","141_E6.5_8.5_Chan",10
"73","142_E6.5_8.5_Chan",13
"74","143_E6.5_8.5_Chan",19
"75","145_E6.5_8.5_Chan",5
"76","146_E6.5_8.5_Chan",4
"77","147_E6.5_8.5_Chan",12
"78","148_E6.5_8.5_Chan",13
"79","149_E6.5_8.5_Chan",11
"80","150_E6.5_8.5_Chan",13
"81","151_E6.5_8.5_Chan",13
"82","152_E6.5_8.5_Chan",17
"83","153_E6.5_8.5_Chan",7
"84","156_E6.5_8.5_Chan",19
"85","157_E6.5_8.5_Chan",17
"86","158_E6.5_8.5_Chan",15
"87","159_E6.5_8.5_Chan",16
"88","160_E6.5_8.5_Chan",21
"89","162_E6.5_8.5_Chan",12
"90","163_E6.5_8.5_Chan",18
"91","166_E6.5_8.5_Chan",19
"92","167_E6.5_8.5_Chan",9
"93","168_E6.5_8.5_Chan",7
"94","169_E6.5_8.5_Chan",5
"95","170_E6.5_8.5_Chan",20
"96","171_E6.5_8.5_Chan",5
"97","172_E6.5_8.5_Chan",10
"98","173_E6.5_8.5_Chan",22
"99","175_E6.5_8.5_Chan",11
"100","176_E6.5_8.5_Chan",4
"101","177_E6.5_8.5_Chan",14
"102","178_E6.5_8.5_Chan",23
