"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","3_E6.5_8.5_Chan",1
"3","4_E6.5_8.5_Chan",1
"4","6_E6.5_8.5_Chan",1
"5","9_E6.5_8.5_Chan",2
"6","10_E6.5_8.5_Chan",3
"7","13_E6.5_8.5_Chan",2
"8","14_E6.5_8.5_Chan",4
"9","19_E6.5_8.5_Chan",1
"10","20_E6.5_8.5_Chan",1
"11","21_E6.5_8.5_Chan",1
"12","22_E6.5_8.5_Chan",1
"13","23_E6.5_8.5_Chan",1
"14","24_E6.5_8.5_Chan",1
"15","25_E6.5_8.5_Chan",1
"16","26_E6.5_8.5_Chan",1
"17","27_E6.5_8.5_Chan",1
"18","31_E6.5_8.5_Chan",3
"19","34_E6.5_8.5_Chan",5
"20","35_E6.5_8.5_Chan",5
"21","36_E6.5_8.5_Chan",6
"22","38_E6.5_8.5_Chan",1
"23","39_E6.5_8.5_Chan",2
"24","40_E6.5_8.5_Chan",1
"25","44_E6.5_8.5_Chan",1
"26","49_E6.5_8.5_Chan",2
"27","50_E6.5_8.5_Chan",7
"28","52_E6.5_8.5_Chan",8
"29","54_E6.5_8.5_Chan",9
"30","56_E6.5_8.5_Chan",1
"31","58_E6.5_8.5_Chan",1
"32","61_E6.5_8.5_Chan",5
"33","63_E6.5_8.5_Chan",1
"34","64_E6.5_8.5_Chan",9
"35","66_E6.5_8.5_Chan",10
"36","68_E6.5_8.5_Chan",3
"37","75_E6.5_8.5_Chan",5
"38","78_E6.5_8.5_Chan",11
"39","79_E6.5_8.5_Chan",1
"40","81_E6.5_8.5_Chan",5
"41","84_E6.5_8.5_Chan",8
"42","85_E6.5_8.5_Chan",1
"43","86_E6.5_8.5_Chan",8
"44","87_E6.5_8.5_Chan",11
"45","88_E6.5_8.5_Chan",10
"46","89_E6.5_8.5_Chan",1
"47","90_E6.5_8.5_Chan",2
"48","91_E6.5_8.5_Chan",1
"49","92_E6.5_8.5_Chan",11
"50","94_E6.5_8.5_Chan",7
"51","95_E6.5_8.5_Chan",8
