"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","3_E6.5_8.5_Chan",1
"3","4_E6.5_8.5_Chan",1
"4","5_E6.5_8.5_Chan",2
"5","6_E6.5_8.5_Chan",1
"6","7_E6.5_8.5_Chan",2
"7","8_E6.5_8.5_Chan",2
"8","9_E6.5_8.5_Chan",1
"9","10_E6.5_8.5_Chan",1
"10","11_E6.5_8.5_Chan",3
"11","12_E6.5_8.5_Chan",2
"12","13_E6.5_8.5_Chan",4
"13","14_E6.5_8.5_Chan",1
"14","15_E6.5_8.5_Chan",5
"15","16_E6.5_8.5_Chan",2
"16","17_E6.5_8.5_Chan",1
"17","18_E6.5_8.5_Chan",6
"18","19_E6.5_8.5_Chan",1
"19","20_E6.5_8.5_Chan",1
"20","21_E6.5_8.5_Chan",1
"21","22_E6.5_8.5_Chan",1
"22","23_E6.5_8.5_Chan",1
"23","24_E6.5_8.5_Chan",1
"24","25_E6.5_8.5_Chan",1
"25","26_E6.5_8.5_Chan",1
"26","27_E6.5_8.5_Chan",1
"27","28_E6.5_8.5_Chan",1
"28","29_E6.5_8.5_Chan",4
"29","30_E6.5_8.5_Chan",1
"30","31_E6.5_8.5_Chan",1
"31","33_E6.5_8.5_Chan",1
"32","34_E6.5_8.5_Chan",1
"33","35_E6.5_8.5_Chan",1
"34","36_E6.5_8.5_Chan",1
"35","37_E6.5_8.5_Chan",2
"36","38_E6.5_8.5_Chan",1
"37","39_E6.5_8.5_Chan",1
"38","40_E6.5_8.5_Chan",1
"39","41_E6.5_8.5_Chan",1
"40","42_E6.5_8.5_Chan",5
"41","43_E6.5_8.5_Chan",6
"42","44_E6.5_8.5_Chan",1
"43","45_E6.5_8.5_Chan",2
"44","46_E6.5_8.5_Chan",2
"45","47_E6.5_8.5_Chan",6
"46","48_E6.5_8.5_Chan",1
"47","49_E6.5_8.5_Chan",4
"48","50_E6.5_8.5_Chan",1
"49","51_E6.5_8.5_Chan",1
"50","52_E6.5_8.5_Chan",1
"51","53_E6.5_8.5_Chan",6
