"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","3_E6.5_8.5_Chan",1
"3","5_E6.5_8.5_Chan",2
"4","7_E6.5_8.5_Chan",2
"5","8_E6.5_8.5_Chan",2
"6","9_E6.5_8.5_Chan",3
"7","10_E6.5_8.5_Chan",3
"8","11_E6.5_8.5_Chan",4
"9","13_E6.5_8.5_Chan",3
"10","14_E6.5_8.5_Chan",3
"11","15_E6.5_8.5_Chan",3
"12","16_E6.5_8.5_Chan",2
"13","26_E6.5_8.5_Chan",1
"14","29_E6.5_8.5_Chan",3
"15","30_E6.5_8.5_Chan",5
"16","36_E6.5_8.5_Chan",1
"17","37_E6.5_8.5_Chan",2
"18","38_E6.5_8.5_Chan",1
"19","39_E6.5_8.5_Chan",3
"20","40_E6.5_8.5_Chan",1
"21","42_E6.5_8.5_Chan",3
"22","44_E6.5_8.5_Chan",1
"23","45_E6.5_8.5_Chan",2
"24","46_E6.5_8.5_Chan",2
"25","48_E6.5_8.5_Chan",1
"26","49_E6.5_8.5_Chan",3
"27","50_E6.5_8.5_Chan",5
"28","52_E6.5_8.5_Chan",1
"29","56_E6.5_8.5_Chan",5
"30","57_E6.5_8.5_Chan",1
"31","58_E6.5_8.5_Chan",1
"32","62_E6.5_8.5_Chan",5
"33","63_E6.5_8.5_Chan",1
"34","65_E6.5_8.5_Chan",1
"35","66_E6.5_8.5_Chan",1
"36","67_E6.5_8.5_Chan",1
"37","69_E6.5_8.5_Chan",5
"38","71_E6.5_8.5_Chan",4
"39","77_E6.5_8.5_Chan",1
"40","78_E6.5_8.5_Chan",1
"41","79_E6.5_8.5_Chan",5
"42","81_E6.5_8.5_Chan",1
"43","82_E6.5_8.5_Chan",2
"44","83_E6.5_8.5_Chan",5
"45","84_E6.5_8.5_Chan",1
"46","85_E6.5_8.5_Chan",5
"47","86_E6.5_8.5_Chan",2
"48","87_E6.5_8.5_Chan",1
"49","88_E6.5_8.5_Chan",5
"50","89_E6.5_8.5_Chan",5
"51","90_E6.5_8.5_Chan",3
