"","cell_id","class_label"
"1","3_E6.5_8.5_Chan",1
"2","4_E6.5_8.5_Chan",2
"3","5_E6.5_8.5_Chan",3
"4","6_E6.5_8.5_Chan",2
"5","7_E6.5_8.5_Chan",3
"6","8_E6.5_8.5_Chan",3
"7","9_E6.5_8.5_Chan",4
"8","10_E6.5_8.5_Chan",4
"9","11_E6.5_8.5_Chan",3
"10","12_E6.5_8.5_Chan",5
"11","13_E6.5_8.5_Chan",6
"12","14_E6.5_8.5_Chan",4
"13","15_E6.5_8.5_Chan",7
"14","16_E6.5_8.5_Chan",3
"15","20_E6.5_8.5_Chan",2
"16","28_E6.5_8.5_Chan",8
"17","29_E6.5_8.5_Chan",6
"18","31_E6.5_8.5_Chan",8
"19","37_E6.5_8.5_Chan",3
"20","39_E6.5_8.5_Chan",4
"21","40_E6.5_8.5_Chan",2
"22","41_E6.5_8.5_Chan",8
"23","42_E6.5_8.5_Chan",7
"24","43_E6.5_8.5_Chan",9
"25","45_E6.5_8.5_Chan",3
"26","46_E6.5_8.5_Chan",3
"27","48_E6.5_8.5_Chan",8
"28","49_E6.5_8.5_Chan",6
"29","50_E6.5_8.5_Chan",8
"30","55_E6.5_8.5_Chan",8
"31","57_E6.5_8.5_Chan",8
"32","62_E6.5_8.5_Chan",8
"33","67_E6.5_8.5_Chan",7
"34","68_E6.5_8.5_Chan",8
"35","69_E6.5_8.5_Chan",8
"36","70_E6.5_8.5_Chan",8
"37","71_E6.5_8.5_Chan",7
"38","75_E6.5_8.5_Chan",8
"39","76_E6.5_8.5_Chan",5
"40","77_E6.5_8.5_Chan",10
"41","79_E6.5_8.5_Chan",8
"42","81_E6.5_8.5_Chan",8
"43","82_E6.5_8.5_Chan",3
"44","83_E6.5_8.5_Chan",8
"45","84_E6.5_8.5_Chan",8
"46","85_E6.5_8.5_Chan",8
"47","86_E6.5_8.5_Chan",8
"48","87_E6.5_8.5_Chan",8
"49","88_E6.5_8.5_Chan",8
"50","89_E6.5_8.5_Chan",8
"51","90_E6.5_8.5_Chan",4
"52","91_E6.5_8.5_Chan",8
"53","92_E6.5_8.5_Chan",8
"54","93_E6.5_8.5_Chan",8
"55","94_E6.5_8.5_Chan",8
"56","95_E6.5_8.5_Chan",8
"57","96_E6.5_8.5_Chan",8
"58","98_E6.5_8.5_Chan",8
"59","100_E6.5_8.5_Chan",8
"60","101_E6.5_8.5_Chan",8
"61","103_E6.5_8.5_Chan",8
"62","104_E6.5_8.5_Chan",8
"63","105_E6.5_8.5_Chan",8
"64","106_E6.5_8.5_Chan",8
"65","107_E6.5_8.5_Chan",4
"66","108_E6.5_8.5_Chan",4
"67","110_E6.5_8.5_Chan",8
"68","111_E6.5_8.5_Chan",8
"69","112_E6.5_8.5_Chan",8
"70","113_E6.5_8.5_Chan",8
"71","114_E6.5_8.5_Chan",8
