"","cell_id","class_label"
"1","19_E6.5_8.5_Chan",1
"2","58_E6.5_8.5_Chan",1
"3","86_E6.5_8.5_Chan",1
"4","105_E6.5_8.5_Chan",2
"5","111_E6.5_8.5_Chan",1
"6","138_E6.5_8.5_Chan",2
"7","139_E6.5_8.5_Chan",1
"8","163_E6.5_8.5_Chan",1
"9","169_E6.5_8.5_Chan",1
"10","175_E6.5_8.5_Chan",3
"11","291_E6.5_8.5_Marioni",1
"12","303_E6.5_8.5_Marioni",1
"13","337_18m 10x",4
"14","338_18m 10x",5
"15","341_1m 10x",4
"16","342_1m 10x",5
"17","343_1m 10x",6
"18","346_24m 10x",5
"19","349_3m 10x",4
"20","350_3m 10x",5
"21","353_18m 10x",7
"22","357_18m 10x",8
"23","360_21m 10x",7
"24","366_30m 10x",7
"25","372_18m 10x",9
"26","373_18m 10x",7
"27","375_18m 10x",6
"28","376_18m 10x",10
"29","378_1m 10x",9
"30","379_1m 10x",7
"31","381_1m 10x",6
"32","382_1m 10x",10
"33","384_21m 10x",9
"34","385_21m 10x",7
"35","387_21m 10x",6
"36","388_24m 10x",9
"37","389_24m 10x",7
"38","391_24m 10x",6
"39","392_24m 10x",10
"40","394_30m 10x",9
"41","395_30m 10x",7
"42","396_30m 10x",7
"43","398_30m 10x",6
"44","400_30m 10x",10
"45","402_3m 10x",9
"46","403_3m 10x",7
"47","405_3m 10x",6
"48","409_18m 10x",11
"49","412_18m 10x",7
"50","416_18m 10x",5
"51","418_18m 10x",6
"52","419_18m 10x",12
"53","420_18m 10x",3
"54","424_1m 10x",11
"55","425_1m 10x",11
"56","427_1m 10x",7
"57","431_1m 10x",10
"58","433_1m 10x",12
"59","434_1m 10x",3
"60","438_21m 10x",11
"61","440_21m 10x",7
"62","443_21m 10x",10
"63","448_21m 10x",12
"64","451_24m 10x",12
"65","452_24m 10x",12
"66","458_30m 10x",11
"67","460_30m 10x",13
"68","461_30m 10x",7
"69","466_30m 10x",6
"70","467_30m 10x",12
"71","472_3m 10x",11
"72","473_3m 10x",11
"73","475_3m 10x",7
"74","479_3m 10x",10
"75","482_3m 10x",6
"76","489_30m 10x",14
"77","490_18m 10x",15
"78","491_18m 10x",8
"79","495_18m 10x",10
"80","498_1m 10x",15
"81","499_1m 10x",8
"82","503_1m 10x",10
"83","506_21m 10x",15
"84","507_21m 10x",8
"85","513_24m 10x",15
"86","516_24m 10x",13
"87","519_24m 10x",10
"88","522_30m 10x",15
"89","531_3m 10x",15
"90","532_3m 10x",8
"91","535_3m 10x",10
"92","538_18m 10x",6
"93","539_18m 10x",6
"94","541_1m 10x",9
"95","548_21m 10x",12
"96","551_30m 10x",9
"97","557_18m 10x",8
"98","559_18m 10x",11
"99","562_18m 10x",6
"100","564_18m 10x",6
"101","566_18m 10x",6
"102","567_18m 10x",8
"103","568_18m 10x",12
"104","570_18m 10x",11
"105","573_18m 10x",16
"106","574_1m 10x",8
"107","576_1m 10x",11
"108","579_1m 10x",6
"109","581_1m 10x",6
"110","582_1m 10x",6
"111","583_1m 10x",8
"112","584_1m 10x",12
"113","587_21m 10x",8
"114","589_21m 10x",12
"115","590_21m 10x",11
"116","591_21m 10x",12
"117","596_21m 10x",6
"118","597_21m 10x",12
"119","599_21m 10x",12
"120","600_21m 10x",16
"121","604_30m 10x",11
"122","611_30m 10x",12
"123","616_30m 10x",16
"124","618_3m 10x",8
"125","620_3m 10x",11
"126","623_3m 10x",17
"127","624_3m 10x",6
"128","626_3m 10x",6
"129","628_3m 10x",6
"130","629_3m 10x",10
"131","631_3m 10x",3
"132","634_18m 10x",15
