"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","2_E6.5_8.5_Chan",2
"3","3_E6.5_8.5_Chan",1
"4","4_E6.5_8.5_Chan",1
"5","5_E6.5_8.5_Chan",3
"6","6_E6.5_8.5_Chan",1
"7","7_E6.5_8.5_Chan",3
"8","8_E6.5_8.5_Chan",3
"9","9_E6.5_8.5_Chan",4
"10","10_E6.5_8.5_Chan",4
"11","11_E6.5_8.5_Chan",3
"12","12_E6.5_8.5_Chan",3
"13","13_E6.5_8.5_Chan",4
"14","14_E6.5_8.5_Chan",4
"15","15_E6.5_8.5_Chan",5
"16","16_E6.5_8.5_Chan",3
"17","17_E6.5_8.5_Chan",1
"18","18_E6.5_8.5_Chan",2
"19","19_E6.5_8.5_Chan",1
"20","20_E6.5_8.5_Chan",1
"21","21_E6.5_8.5_Chan",1
"22","22_E6.5_8.5_Chan",1
"23","23_E6.5_8.5_Chan",1
"24","24_E6.5_8.5_Chan",1
"25","25_E6.5_8.5_Chan",1
"26","26_E6.5_8.5_Chan",1
"27","27_E6.5_8.5_Chan",1
"28","28_E6.5_8.5_Chan",1
"29","29_E6.5_8.5_Chan",4
"30","30_E6.5_8.5_Chan",6
"31","31_E6.5_8.5_Chan",4
"32","32_E6.5_8.5_Chan",2
"33","33_E6.5_8.5_Chan",1
"34","34_E6.5_8.5_Chan",1
"35","35_E6.5_8.5_Chan",1
"36","36_E6.5_8.5_Chan",1
"37","37_E6.5_8.5_Chan",3
"38","38_E6.5_8.5_Chan",1
"39","39_E6.5_8.5_Chan",4
"40","40_E6.5_8.5_Chan",1
"41","41_E6.5_8.5_Chan",6
"42","42_E6.5_8.5_Chan",5
"43","43_E6.5_8.5_Chan",7
"44","44_E6.5_8.5_Chan",1
"45","45_E6.5_8.5_Chan",3
"46","46_E6.5_8.5_Chan",3
"47","47_E6.5_8.5_Chan",2
"48","48_E6.5_8.5_Chan",1
"49","49_E6.5_8.5_Chan",4
"50","50_E6.5_8.5_Chan",6
"51","51_E6.5_8.5_Chan",1
"52","52_E6.5_8.5_Chan",1
"53","53_E6.5_8.5_Chan",2
"54","54_E6.5_8.5_Chan",1
"55","55_E6.5_8.5_Chan",1
"56","56_E6.5_8.5_Chan",1
"57","57_E6.5_8.5_Chan",1
"58","58_E6.5_8.5_Chan",1
"59","59_E6.5_8.5_Chan",1
"60","60_E6.5_8.5_Chan",1
"61","61_E6.5_8.5_Chan",1
"62","62_E6.5_8.5_Chan",1
"63","63_E6.5_8.5_Chan",1
"64","64_E6.5_8.5_Chan",1
"65","65_E6.5_8.5_Chan",1
"66","66_E6.5_8.5_Chan",1
"67","67_E6.5_8.5_Chan",5
"68","68_E6.5_8.5_Chan",4
"69","69_E6.5_8.5_Chan",6
"70","70_E6.5_8.5_Chan",8
"71","71_E6.5_8.5_Chan",9
"72","72_E6.5_8.5_Chan",10
"73","73_E6.5_8.5_Chan",3
"74","74_E6.5_8.5_Chan",7
"75","75_E6.5_8.5_Chan",6
"76","76_E6.5_8.5_Chan",10
"77","77_E6.5_8.5_Chan",6
"78","78_E6.5_8.5_Chan",6
"79","79_E6.5_8.5_Chan",6
"80","80_E6.5_8.5_Chan",7
"81","81_E6.5_8.5_Chan",1
"82","82_E6.5_8.5_Chan",3
"83","83_E6.5_8.5_Chan",6
"84","84_E6.5_8.5_Chan",6
"85","85_E6.5_8.5_Chan",6
"86","86_E6.5_8.5_Chan",6
"87","87_E6.5_8.5_Chan",1
"88","88_E6.5_8.5_Chan",6
"89","89_E6.5_8.5_Chan",6
"90","90_E6.5_8.5_Chan",4
"91","91_E6.5_8.5_Chan",6
"92","92_E6.5_8.5_Chan",1
"93","93_E6.5_8.5_Chan",11
"94","94_E6.5_8.5_Chan",6
"95","95_E6.5_8.5_Chan",6
"96","96_E6.5_8.5_Chan",12
"97","97_E6.5_8.5_Chan",1
"98","98_E6.5_8.5_Chan",6
"99","99_E6.5_8.5_Chan",7
"100","100_E6.5_8.5_Chan",6
"101","101_E6.5_8.5_Chan",7
"102","102_E6.5_8.5_Chan",2
"103","103_E6.5_8.5_Chan",6
"104","104_E6.5_8.5_Chan",6
"105","105_E6.5_8.5_Chan",12
"106","106_E6.5_8.5_Chan",6
"107","107_E6.5_8.5_Chan",8
"108","108_E6.5_8.5_Chan",4
"109","109_E6.5_8.5_Chan",7
"110","110_E6.5_8.5_Chan",1
"111","111_E6.5_8.5_Chan",6
"112","112_E6.5_8.5_Chan",1
"113","113_E6.5_8.5_Chan",1
"114","114_E6.5_8.5_Chan",6
"115","115_E6.5_8.5_Chan",1
"116","116_E6.5_8.5_Chan",9
"117","117_E6.5_8.5_Chan",2
"118","118_E6.5_8.5_Chan",6
"119","119_E6.5_8.5_Chan",2
"120","120_E6.5_8.5_Chan",5
"121","121_E6.5_8.5_Chan",6
"122","122_E6.5_8.5_Chan",2
"123","123_E6.5_8.5_Chan",6
"124","124_E6.5_8.5_Chan",2
"125","125_E6.5_8.5_Chan",6
"126","126_E6.5_8.5_Chan",6
"127","127_E6.5_8.5_Chan",7
"128","128_E6.5_8.5_Chan",6
"129","129_E6.5_8.5_Chan",7
"130","130_E6.5_8.5_Chan",4
"131","131_E6.5_8.5_Chan",6
"132","132_E6.5_8.5_Chan",6
"133","133_E6.5_8.5_Chan",6
"134","134_E6.5_8.5_Chan",6
"135","135_E6.5_8.5_Chan",6
"136","136_E6.5_8.5_Chan",6
"137","137_E6.5_8.5_Chan",6
"138","138_E6.5_8.5_Chan",12
"139","139_E6.5_8.5_Chan",6
"140","140_E6.5_8.5_Chan",6
"141","141_E6.5_8.5_Chan",6
"142","142_E6.5_8.5_Chan",6
"143","143_E6.5_8.5_Chan",6
"144","144_E6.5_8.5_Chan",7
"145","145_E6.5_8.5_Chan",6
"146","146_E6.5_8.5_Chan",6
"147","147_E6.5_8.5_Chan",6
"148","148_E6.5_8.5_Chan",6
"149","149_E6.5_8.5_Chan",6
"150","150_E6.5_8.5_Chan",6
"151","151_E6.5_8.5_Chan",6
"152","152_E6.5_8.5_Chan",2
"153","153_E6.5_8.5_Chan",11
"154","154_E6.5_8.5_Chan",7
"155","155_E6.5_8.5_Chan",2
"156","156_E6.5_8.5_Chan",6
"157","157_E6.5_8.5_Chan",6
"158","158_E6.5_8.5_Chan",8
"159","159_E6.5_8.5_Chan",6
"160","160_E6.5_8.5_Chan",6
"161","161_E6.5_8.5_Chan",2
"162","162_E6.5_8.5_Chan",6
"163","163_E6.5_8.5_Chan",6
"164","164_E6.5_8.5_Chan",12
"165","165_E6.5_8.5_Chan",2
"166","166_E6.5_8.5_Chan",6
"167","167_E6.5_8.5_Chan",5
"168","168_E6.5_8.5_Chan",13
"169","169_E6.5_8.5_Chan",6
"170","170_E6.5_8.5_Chan",6
"171","171_E6.5_8.5_Chan",6
"172","172_E6.5_8.5_Chan",6
"173","173_E6.5_8.5_Chan",7
"174","174_E6.5_8.5_Chan",6
"175","175_E6.5_8.5_Chan",6
"176","176_E6.5_8.5_Chan",6
"177","177_E6.5_8.5_Chan",6
"178","178_E6.5_8.5_Chan",6
