"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","3_E6.5_8.5_Chan",1
"3","4_E6.5_8.5_Chan",1
"4","6_E6.5_8.5_Chan",1
"5","7_E6.5_8.5_Chan",2
"6","9_E6.5_8.5_Chan",3
"7","10_E6.5_8.5_Chan",4
"8","11_E6.5_8.5_Chan",2
"9","13_E6.5_8.5_Chan",3
"10","14_E6.5_8.5_Chan",4
"11","15_E6.5_8.5_Chan",3
"12","16_E6.5_8.5_Chan",2
"13","19_E6.5_8.5_Chan",1
"14","21_E6.5_8.5_Chan",1
"15","22_E6.5_8.5_Chan",1
"16","25_E6.5_8.5_Chan",1
"17","26_E6.5_8.5_Chan",1
"18","27_E6.5_8.5_Chan",1
"19","28_E6.5_8.5_Chan",1
"20","29_E6.5_8.5_Chan",3
"21","30_E6.5_8.5_Chan",1
"22","31_E6.5_8.5_Chan",4
"23","33_E6.5_8.5_Chan",2
"24","34_E6.5_8.5_Chan",2
"25","36_E6.5_8.5_Chan",2
"26","37_E6.5_8.5_Chan",2
"27","40_E6.5_8.5_Chan",2
"28","41_E6.5_8.5_Chan",2
"29","42_E6.5_8.5_Chan",3
"30","44_E6.5_8.5_Chan",1
"31","45_E6.5_8.5_Chan",2
"32","46_E6.5_8.5_Chan",2
"33","48_E6.5_8.5_Chan",1
"34","49_E6.5_8.5_Chan",3
"35","50_E6.5_8.5_Chan",2
"36","51_E6.5_8.5_Chan",1
"37","52_E6.5_8.5_Chan",2
"38","54_E6.5_8.5_Chan",1
"39","56_E6.5_8.5_Chan",1
"40","57_E6.5_8.5_Chan",2
"41","58_E6.5_8.5_Chan",1
"42","59_E6.5_8.5_Chan",1
"43","61_E6.5_8.5_Chan",1
"44","62_E6.5_8.5_Chan",2
"45","63_E6.5_8.5_Chan",1
"46","64_E6.5_8.5_Chan",1
"47","65_E6.5_8.5_Chan",1
"48","66_E6.5_8.5_Chan",1
"49","68_E6.5_8.5_Chan",4
"50","69_E6.5_8.5_Chan",2
"51","71_E6.5_8.5_Chan",1
