"","cell_id","class_label"
"1","9_E6.5_8.5_Chan",1
"2","10_E6.5_8.5_Chan",1
"3","13_E6.5_8.5_Chan",2
"4","14_E6.5_8.5_Chan",3
"5","15_E6.5_8.5_Chan",4
"6","19_E6.5_8.5_Chan",5
"7","21_E6.5_8.5_Chan",5
"8","28_E6.5_8.5_Chan",5
"9","29_E6.5_8.5_Chan",1
"10","31_E6.5_8.5_Chan",6
"11","42_E6.5_8.5_Chan",4
"12","71_E6.5_8.5_Chan",7
"13","79_E6.5_8.5_Chan",5
"14","91_E6.5_8.5_Chan",8
"15","94_E6.5_8.5_Chan",9
"16","96_E6.5_8.5_Chan",10
"17","103_E6.5_8.5_Chan",6
"18","104_E6.5_8.5_Chan",11
"19","105_E6.5_8.5_Chan",12
"20","106_E6.5_8.5_Chan",5
"21","120_E6.5_8.5_Chan",1
"22","125_E6.5_8.5_Chan",5
"23","131_E6.5_8.5_Chan",5
"24","132_E6.5_8.5_Chan",5
"25","134_E6.5_8.5_Chan",5
"26","135_E6.5_8.5_Chan",5
"27","138_E6.5_8.5_Chan",12
"28","141_E6.5_8.5_Chan",5
"29","142_E6.5_8.5_Chan",5
"30","143_E6.5_8.5_Chan",5
"31","145_E6.5_8.5_Chan",5
"32","146_E6.5_8.5_Chan",5
"33","148_E6.5_8.5_Chan",8
"34","149_E6.5_8.5_Chan",13
"35","150_E6.5_8.5_Chan",11
"36","151_E6.5_8.5_Chan",8
"37","153_E6.5_8.5_Chan",6
"38","156_E6.5_8.5_Chan",5
"39","159_E6.5_8.5_Chan",8
"40","160_E6.5_8.5_Chan",5
"41","166_E6.5_8.5_Chan",11
"42","167_E6.5_8.5_Chan",4
"43","170_E6.5_8.5_Chan",9
"44","171_E6.5_8.5_Chan",5
"45","175_E6.5_8.5_Chan",13
"46","178_E6.5_8.5_Chan",5
"47","319_E5.5_Nowotschin",7
"48","324_E5.5_Nowotschin",7
"49","326_E5.5_Nowotschin",2
"50","327_E5.5_Nowotschin",9
"51","328_E5.5_Nowotschin",2
"52","330_E5.5_Nowotschin",2
"53","335_E5.5_Nowotschin",10
"54","338_18m 10x",14
"55","340_1m 10x",15
"56","341_1m 10x",16
"57","342_1m 10x",14
"58","344_24m 10x",15
"59","345_24m 10x",15
"60","346_24m 10x",14
"61","348_3m 10x",15
"62","349_3m 10x",15
"63","350_3m 10x",17
"64","353_18m 10x",18
"65","354_18m 10x",19
"66","356_18m 10x",20
"67","360_21m 10x",21
"68","362_21m 10x",20
"69","366_30m 10x",18
"70","368_30m 10x",22
"71","372_18m 10x",23
"72","373_18m 10x",18
"73","374_18m 10x",22
"74","376_18m 10x",24
"75","378_1m 10x",23
"76","379_1m 10x",18
"77","383_21m 10x",22
"78","384_21m 10x",23
"79","385_21m 10x",18
"80","389_24m 10x",21
"81","394_30m 10x",23
"82","395_30m 10x",18
"83","396_30m 10x",18
"84","400_30m 10x",25
"85","401_3m 10x",2
"86","402_3m 10x",17
"87","403_3m 10x",26
"88","404_3m 10x",23
"89","407_18m 10x",27
"90","409_18m 10x",28
"91","411_18m 10x",29
"92","416_18m 10x",1
"93","420_18m 10x",19
"94","425_1m 10x",30
"95","426_1m 10x",31
"96","431_1m 10x",19
"97","434_1m 10x",19
"98","436_21m 10x",22
"99","438_21m 10x",32
"100","442_21m 10x",33
"101","443_21m 10x",25
"102","447_21m 10x",25
"103","458_30m 10x",32
"104","459_30m 10x",16
"105","460_30m 10x",31
"106","461_30m 10x",32
