"","cell_id","class_label"
"1","1_E6.5_8.5_Chan",1
"2","3_E6.5_8.5_Chan",1
"3","4_E6.5_8.5_Chan",1
"4","6_E6.5_8.5_Chan",1
"5","7_E6.5_8.5_Chan",2
"6","9_E6.5_8.5_Chan",3
"7","10_E6.5_8.5_Chan",4
"8","11_E6.5_8.5_Chan",3
"9","12_E6.5_8.5_Chan",2
"10","13_E6.5_8.5_Chan",3
"11","14_E6.5_8.5_Chan",4
"12","15_E6.5_8.5_Chan",5
"13","17_E6.5_8.5_Chan",6
"14","18_E6.5_8.5_Chan",6
"15","19_E6.5_8.5_Chan",6
"16","20_E6.5_8.5_Chan",6
"17","21_E6.5_8.5_Chan",2
"18","22_E6.5_8.5_Chan",6
"19","23_E6.5_8.5_Chan",6
"20","24_E6.5_8.5_Chan",6
"21","25_E6.5_8.5_Chan",6
"22","26_E6.5_8.5_Chan",6
"23","27_E6.5_8.5_Chan",6
"24","28_E6.5_8.5_Chan",6
"25","30_E6.5_8.5_Chan",1
"26","31_E6.5_8.5_Chan",7
"27","32_E6.5_8.5_Chan",6
"28","33_E6.5_8.5_Chan",1
"29","34_E6.5_8.5_Chan",2
"30","35_E6.5_8.5_Chan",6
"31","36_E6.5_8.5_Chan",6
"32","38_E6.5_8.5_Chan",6
"33","39_E6.5_8.5_Chan",3
"34","40_E6.5_8.5_Chan",1
"35","41_E6.5_8.5_Chan",1
"36","42_E6.5_8.5_Chan",4
"37","44_E6.5_8.5_Chan",6
"38","46_E6.5_8.5_Chan",2
"39","47_E6.5_8.5_Chan",6
"40","48_E6.5_8.5_Chan",1
"41","50_E6.5_8.5_Chan",1
"42","51_E6.5_8.5_Chan",6
"43","52_E6.5_8.5_Chan",6
"44","56_E6.5_8.5_Chan",2
"45","58_E6.5_8.5_Chan",1
"46","59_E6.5_8.5_Chan",6
"47","60_E6.5_8.5_Chan",6
"48","61_E6.5_8.5_Chan",3
"49","63_E6.5_8.5_Chan",6
"50","64_E6.5_8.5_Chan",6
"51","65_E6.5_8.5_Chan",6
