"","cell_id","class_label"
"1","5_E6.5_8.5_Chan",1
"2","8_E6.5_8.5_Chan",1
"3","16_E6.5_8.5_Chan",1
"4","50_E6.5_8.5_Chan",2
"5","65_E6.5_8.5_Chan",3
"6","69_E6.5_8.5_Chan",2
"7","87_E6.5_8.5_Chan",4
"8","88_E6.5_8.5_Chan",5
"9","89_E6.5_8.5_Chan",4
"10","91_E6.5_8.5_Chan",2
"11","92_E6.5_8.5_Chan",4
"12","103_E6.5_8.5_Chan",2
"13","104_E6.5_8.5_Chan",2
"14","106_E6.5_8.5_Chan",5
"15","113_E6.5_8.5_Chan",4
"16","118_E6.5_8.5_Chan",6
"17","121_E6.5_8.5_Chan",5
"18","125_E6.5_8.5_Chan",4
"19","126_E6.5_8.5_Chan",7
"20","131_E6.5_8.5_Chan",6
"21","132_E6.5_8.5_Chan",7
"22","134_E6.5_8.5_Chan",4
"23","136_E6.5_8.5_Chan",8
"24","141_E6.5_8.5_Chan",9
"25","142_E6.5_8.5_Chan",5
"26","145_E6.5_8.5_Chan",4
"27","146_E6.5_8.5_Chan",4
"28","147_E6.5_8.5_Chan",7
"29","150_E6.5_8.5_Chan",9
"30","151_E6.5_8.5_Chan",2
"31","152_E6.5_8.5_Chan",7
"32","156_E6.5_8.5_Chan",7
"33","157_E6.5_8.5_Chan",7
"34","159_E6.5_8.5_Chan",2
"35","160_E6.5_8.5_Chan",4
"36","163_E6.5_8.5_Chan",5
"37","166_E6.5_8.5_Chan",3
"38","169_E6.5_8.5_Chan",5
"39","170_E6.5_8.5_Chan",6
"40","171_E6.5_8.5_Chan",4
"41","172_E6.5_8.5_Chan",4
"42","175_E6.5_8.5_Chan",6
"43","176_E6.5_8.5_Chan",6
"44","228_E6.5_8.5_Marioni",3
"45","240_E6.5_8.5_Marioni",2
"46","262_E6.5_8.5_Marioni",3
"47","273_E6.5_8.5_Marioni",2
"48","293_E6.5_8.5_Marioni",2
"49","297_E6.5_8.5_Marioni",9
"50","299_E6.5_8.5_Marioni",2
"51","302_E6.5_8.5_Marioni",3
"52","308_E6.5_8.5_Marioni",10
"53","310_E6.5_8.5_Marioni",9
"54","319_E5.5_Nowotschin",1
"55","324_E5.5_Nowotschin",1
"56","332_E5.5_Nowotschin",1
"57","334_E5.5_Nowotschin",1
"58","341_1m 10x",11
"59","342_1m 10x",11
"60","346_24m 10x",11
"61","350_3m 10x",11
"62","353_18m 10x",12
"63","360_21m 10x",11
"64","366_30m 10x",12
"65","373_18m 10x",12
"66","379_1m 10x",12
"67","382_1m 10x",11
"68","385_21m 10x",12
"69","389_24m 10x",12
"70","392_24m 10x",12
"71","395_30m 10x",12
"72","396_30m 10x",12
"73","403_3m 10x",11
"74","409_18m 10x",11
"75","410_18m 10x",13
"76","411_18m 10x",10
"77","412_18m 10x",11
"78","416_18m 10x",14
"79","420_18m 10x",10
"80","424_1m 10x",11
"81","425_1m 10x",14
"82","426_1m 10x",10
"83","427_1m 10x",11
"84","438_21m 10x",11
"85","439_21m 10x",10
"86","440_21m 10x",11
"87","443_21m 10x",14
"88","458_30m 10x",11
"89","460_30m 10x",10
"90","461_30m 10x",11
"91","472_3m 10x",11
"92","473_3m 10x",11
"93","474_3m 10x",10
"94","475_3m 10x",11
"95","479_3m 10x",14
"96","485_30m 10x",11
"97","486_30m 10x",12
"98","488_30m 10x",10
"99","490_18m 10x",11
"100","498_1m 10x",11
"101","506_21m 10x",11
"102","513_24m 10x",11
"103","522_30m 10x",11
"104","531_3m 10x",11
"105","551_30m 10x",12
"106","556_18m 10x",13
"107","559_18m 10x",12
"108","570_18m 10x",11
"109","576_1m 10x",12
"110","586_21m 10x",13
"111","590_21m 10x",12
"112","604_30m 10x",12
"113","620_3m 10x",12
"114","633_18m 10x",15
"115","634_18m 10x",11
"116","640_21m 10x",15
"117","641_21m 10x",11
"118","647_3m 10x",15
"119","741_18m 10x",11
"120","745_18m 10x",7
"121","746_18m 10x",10
"122","747_18m 10x",7
"123","752_21m 10x",7
"124","757_30m 10x",7
"125","759_18m 10x",10
"126","760_21m 10x",10
"127","761_21m 10x",10
"128","762_21m 10x",10
"129","763_21m 10x",15
"130","836_1m 10x",10
"131","838_24m 10x",10
"132","841_3m 10x",10
"133","843_3m 10x",15
"134","846_3m 10x",14
"135","857_Forelimb_E10.5_15.0",5
"136","858_Forelimb_E10.5_15.0",9
"137","859_Forelimb_E10.5_15.0",9
"138","860_Forelimb_E10.5_15.0",9
"139","863_Forelimb_E10.5_15.0",8
"140","865_Forelimb_E10.5_15.0",9
"141","866_Forelimb_E10.5_15.0",9
"142","868_Forelimb_E10.5_15.0",8
"143","871_Forelimb_E10.5_15.0",5
"144","872_Forelimb_E10.5_15.0",8
"145","873_Forelimb_E10.5_15.0",9
"146","874_Forelimb_E10.5_15.0",8
"147","875_Forelimb_E10.5_15.0",8
"148","877_Forelimb_E10.5_15.0",8
"149","878_Forelimb_E10.5_15.0",8
"150","879_Forelimb_E10.5_15.0",8
"151","882_Forelimb_E10.5_15.0",5
"152","883_Forelimb_E10.5_15.0",5
"153","884_Forelimb_E10.5_15.0",8
"154","885_Forelimb_E10.5_15.0",9
"155","887_Forelimb_E10.5_15.0",8
"156","888_Forelimb_E10.5_15.0",9
"157","889_Forelimb_E10.5_15.0",8
"158","892_Forelimb_E10.5_15.0",8
"159","893_Forelimb_E10.5_15.0",8
"160","894_Forelimb_E10.5_15.0",8
"161","896_Forelimb_E10.5_15.0",5
"162","897_Forelimb_E10.5_15.0",5
"163","898_Forelimb_E10.5_15.0",8
