"","cell_id","class_label"
"1","3_E6.5_8.5_Chan",1
"2","26_E6.5_8.5_Chan",2
"3","30_E6.5_8.5_Chan",3
"4","38_E6.5_8.5_Chan",4
"5","40_E6.5_8.5_Chan",5
"6","42_E6.5_8.5_Chan",3
"7","44_E6.5_8.5_Chan",2
"8","54_E6.5_8.5_Chan",6
"9","56_E6.5_8.5_Chan",7
"10","62_E6.5_8.5_Chan",7
"11","77_E6.5_8.5_Chan",8
"12","78_E6.5_8.5_Chan",8
"13","79_E6.5_8.5_Chan",6
"14","83_E6.5_8.5_Chan",3
"15","84_E6.5_8.5_Chan",8
"16","85_E6.5_8.5_Chan",9
"17","86_E6.5_8.5_Chan",3
"18","89_E6.5_8.5_Chan",9
"19","91_E6.5_8.5_Chan",9
"20","93_E6.5_8.5_Chan",9
"21","95_E6.5_8.5_Chan",8
"22","96_E6.5_8.5_Chan",10
"23","97_E6.5_8.5_Chan",2
"24","98_E6.5_8.5_Chan",11
"25","100_E6.5_8.5_Chan",9
"26","105_E6.5_8.5_Chan",12
"27","111_E6.5_8.5_Chan",9
"28","112_E6.5_8.5_Chan",2
"29","118_E6.5_8.5_Chan",11
"30","125_E6.5_8.5_Chan",6
"31","126_E6.5_8.5_Chan",8
"32","128_E6.5_8.5_Chan",11
"33","131_E6.5_8.5_Chan",11
"34","132_E6.5_8.5_Chan",8
"35","133_E6.5_8.5_Chan",7
"36","134_E6.5_8.5_Chan",10
"37","135_E6.5_8.5_Chan",10
"38","136_E6.5_8.5_Chan",3
"39","138_E6.5_8.5_Chan",12
"40","139_E6.5_8.5_Chan",7
"41","140_E6.5_8.5_Chan",10
"42","142_E6.5_8.5_Chan",11
"43","143_E6.5_8.5_Chan",13
"44","145_E6.5_8.5_Chan",10
"45","146_E6.5_8.5_Chan",10
"46","147_E6.5_8.5_Chan",11
"47","150_E6.5_8.5_Chan",3
"48","151_E6.5_8.5_Chan",9
"49","153_E6.5_8.5_Chan",13
"50","156_E6.5_8.5_Chan",11
"51","160_E6.5_8.5_Chan",11
"52","162_E6.5_8.5_Chan",10
"53","163_E6.5_8.5_Chan",10
"54","164_E6.5_8.5_Chan",10
"55","166_E6.5_8.5_Chan",11
"56","169_E6.5_8.5_Chan",7
"57","171_E6.5_8.5_Chan",10
"58","172_E6.5_8.5_Chan",8
"59","174_E6.5_8.5_Chan",10
"60","175_E6.5_8.5_Chan",10
"61","176_E6.5_8.5_Chan",10
"62","177_E6.5_8.5_Chan",9
"63","201_E6.5_8.5_Marioni",2
"64","316_E5.5_Nowotschin",5
"65","317_E5.5_Nowotschin",5
"66","318_E5.5_Nowotschin",5
"67","321_E5.5_Nowotschin",5
"68","322_E5.5_Nowotschin",5
"69","323_E5.5_Nowotschin",5
"70","325_E5.5_Nowotschin",5
"71","331_E5.5_Nowotschin",5
"72","338_18m 10x",14
"73","341_1m 10x",11
"74","342_1m 10x",14
"75","346_24m 10x",15
"76","350_3m 10x",14
"77","353_18m 10x",14
"78","356_18m 10x",16
"79","360_21m 10x",14
"80","366_30m 10x",14
"81","372_18m 10x",17
"82","373_18m 10x",14
"83","376_18m 10x",18
"84","378_1m 10x",17
"85","379_1m 10x",14
"86","382_1m 10x",18
"87","384_21m 10x",17
"88","385_21m 10x",17
"89","388_24m 10x",17
"90","389_24m 10x",17
"91","392_24m 10x",18
"92","394_30m 10x",17
"93","395_30m 10x",17
"94","396_30m 10x",17
"95","400_30m 10x",18
"96","402_3m 10x",17
"97","403_3m 10x",17
"98","409_18m 10x",12
"99","412_18m 10x",12
"100","416_18m 10x",19
"101","424_1m 10x",14
"102","425_1m 10x",14
"103","427_1m 10x",12
"104","431_1m 10x",19
"105","438_21m 10x",14
"106","440_21m 10x",12
"107","443_21m 10x",20
"108","447_21m 10x",11
"109","458_30m 10x",14
"110","461_30m 10x",17
"111","472_3m 10x",14
"112","473_3m 10x",14
"113","474_3m 10x",1
"114","475_3m 10x",12
"115","479_3m 10x",19
"116","485_30m 10x",21
"117","486_30m 10x",21
"118","490_18m 10x",17
"119","495_18m 10x",18
"120","498_1m 10x",17
"121","503_1m 10x",22
