"","cell_id","class_label"
"1","68_E6.5_8.5_Chan",1
"2","77_E6.5_8.5_Chan",2
"3","126_E6.5_8.5_Chan",3
"4","132_E6.5_8.5_Chan",3
"5","156_E6.5_8.5_Chan",4
"6","157_E6.5_8.5_Chan",2
"7","162_E6.5_8.5_Chan",3
"8","168_E6.5_8.5_Chan",5
"9","178_E6.5_8.5_Chan",1
"10","179_E6.5_8.5_Chan",1
"11","306_E6.5_8.5_Marioni",6
"12","336_18m 10x",7
"13","338_18m 10x",8
"14","340_1m 10x",5
"15","342_1m 10x",9
"16","343_1m 10x",10
"17","344_24m 10x",11
"18","346_24m 10x",9
"19","348_3m 10x",7
"20","350_3m 10x",12
"21","352_18m 10x",13
"22","353_18m 10x",12
"23","354_18m 10x",5
"24","355_18m 10x",9
"25","356_18m 10x",7
"26","358_18m 10x",14
"27","359_21m 10x",5
"28","362_21m 10x",7
"29","364_21m 10x",15
"30","365_30m 10x",13
"31","366_30m 10x",12
"32","367_30m 10x",16
"33","368_30m 10x",7
"34","370_30m 10x",14
"35","371_18m 10x",17
"36","372_18m 10x",18
"37","373_18m 10x",10
"38","374_18m 10x",7
"39","375_18m 10x",9
"40","376_18m 10x",9
"41","380_1m 10x",7
"42","381_1m 10x",10
"43","382_1m 10x",8
"44","384_21m 10x",18
"45","385_21m 10x",10
"46","386_21m 10x",7
"47","387_21m 10x",10
"48","388_24m 10x",18
"49","390_24m 10x",7
"50","391_24m 10x",9
"51","392_24m 10x",9
"52","394_30m 10x",18
"53","396_30m 10x",10
"54","397_30m 10x",7
"55","398_30m 10x",10
"56","400_30m 10x",8
"57","402_3m 10x",12
"58","403_3m 10x",10
"59","404_3m 10x",7
"60","405_3m 10x",10
"61","411_18m 10x",9
"62","413_18m 10x",9
"63","414_18m 10x",10
"64","415_18m 10x",9
"65","416_18m 10x",8
"66","421_18m 10x",15
"67","425_1m 10x",13
"68","426_1m 10x",8
"69","430_1m 10x",9
"70","431_1m 10x",8
"71","434_1m 10x",17
"72","435_21m 10x",13
"73","439_21m 10x",17
"74","441_21m 10x",9
"75","443_21m 10x",7
"76","448_21m 10x",14
"77","452_24m 10x",15
"78","459_30m 10x",4
"79","460_30m 10x",17
"80","462_30m 10x",9
"81","463_30m 10x",9
"82","464_30m 10x",9
"83","469_30m 10x",17
"84","470_30m 10x",15
"85","474_3m 10x",8
"86","475_3m 10x",12
"87","476_3m 10x",8
"88","477_3m 10x",10
"89","478_3m 10x",9
"90","479_3m 10x",8
"91","484_3m 10x",17
"92","489_30m 10x",6
"93","492_18m 10x",7
"94","493_18m 10x",11
"95","495_18m 10x",8
"96","500_1m 10x",7
"97","501_1m 10x",11
"98","503_1m 10x",11
"99","505_21m 10x",19
"100","508_21m 10x",7
"101","510_21m 10x",7
"102","512_24m 10x",13
"103","515_24m 10x",7
"104","516_24m 10x",13
"105","519_24m 10x",11
"106","524_30m 10x",11
"107","525_30m 10x",11
"108","528_30m 10x",11
"109","533_3m 10x",7
"110","535_3m 10x",11
"111","538_18m 10x",9
"112","540_18m 10x",15
"113","541_1m 10x",12
"114","545_1m 10x",8
"115","548_21m 10x",15
"116","550_30m 10x",5
"117","551_30m 10x",12
"118","554_30m 10x",14
"119","556_18m 10x",14
"120","559_18m 10x",12
"121","560_18m 10x",14
"122","561_18m 10x",14
"123","563_18m 10x",16
"124","565_18m 10x",15
"125","568_18m 10x",17
"126","571_18m 10x",9
"127","573_18m 10x",10
"128","576_1m 10x",12
"129","577_1m 10x",14
"130","580_1m 10x",16
"131","584_1m 10x",17
"132","586_21m 10x",16
"133","588_21m 10x",13
"134","589_21m 10x",12
"135","595_21m 10x",15
"136","597_21m 10x",15
"137","599_21m 10x",8
"138","600_21m 10x",12
"139","602_30m 10x",13
"140","603_30m 10x",12
"141","604_30m 10x",12
"142","605_30m 10x",14
"143","606_30m 10x",14
"144","610_30m 10x",15
"145","612_30m 10x",17
"146","614_30m 10x",14
"147","615_30m 10x",17
"148","616_30m 10x",12
"149","617_3m 10x",20
"150","620_3m 10x",12
"151","621_3m 10x",15
"152","627_3m 10x",17
"153","629_3m 10x",14
"154","630_3m 10x",7
"155","631_3m 10x",12
"156","632_18m 10x",13
"157","635_18m 10x",5
"158","637_18m 10x",5
"159","639_21m 10x",13
"160","640_21m 10x",16
"161","642_21m 10x",13
"162","644_21m 10x",7
"163","649_3m 10x",5
"164","651_3m 10x",7
"165","656_18m 10x",17
"166","662_18m 10x",17
"167","664_18m 10x",16
"168","670_1m 10x",17
"169","675_1m 10x",17
"170","677_1m 10x",16
"171","683_21m 10x",17
"172","688_21m 10x",17
"173","691_21m 10x",16
"174","695_24m 10x",13
"175","698_24m 10x",17
"176","704_24m 10x",17
"177","707_24m 10x",16
"178","714_30m 10x",17
"179","720_30m 10x",17
"180","724_30m 10x",16
"181","730_3m 10x",17
"182","735_3m 10x",17
"183","737_3m 10x",9
"184","738_3m 10x",16
"185","741_18m 10x",12
"186","742_18m 10x",17
"187","743_18m 10x",21
"188","744_18m 10x",22
"189","745_18m 10x",22
"190","746_18m 10x",4
"191","747_18m 10x",21
"192","748_21m 10x",23
"193","749_21m 10x",21
"194","751_21m 10x",22
"195","752_21m 10x",22
"196","754_30m 10x",21
"197","756_30m 10x",22
"198","757_30m 10x",22
"199","764_21m 10x",10
"200","767_18m 10x",15
"201","768_18m 10x",15
"202","769_18m 10x",13
"203","771_18m 10x",14
"204","774_1m 10x",17
"205","775_1m 10x",17
"206","778_21m 10x",13
"207","782_21m 10x",17
"208","785_21m 10x",14
"209","792_24m 10x",15
"210","800_30m 10x",16
"211","801_30m 10x",15
"212","803_30m 10x",15
"213","804_30m 10x",13
"214","806_30m 10x",14
"215","809_3m 10x",16
"216","810_3m 10x",15
"217","811_3m 10x",17
"218","813_3m 10x",15
"219","814_18m 10x",14
"220","815_18m 10x",20
"221","816_18m 10x",20
"222","817_18m 10x",20
"223","818_18m 10x",13
"224","821_21m 10x",14
"225","822_21m 10x",20
"226","823_21m 10x",20
"227","824_21m 10x",13
"228","828_3m 10x",20
"229","829_3m 10x",20
"230","830_3m 10x",20
"231","831_3m 10x",20
"232","845_3m 10x",11
"233","848_3m 10x",11
"234","851_3m 10x",11
"235","852_3m 10x",7
"236","853_3m 10x",8
"237","854_3m 10x",8
"238","858_Forelimb_E10.5_15.0",4
"239","859_Forelimb_E10.5_15.0",4
"240","866_Forelimb_E10.5_15.0",1
"241","868_Forelimb_E10.5_15.0",18
"242","872_Forelimb_E10.5_15.0",4
"243","873_Forelimb_E10.5_15.0",4
"244","874_Forelimb_E10.5_15.0",2
"245","875_Forelimb_E10.5_15.0",3
"246","877_Forelimb_E10.5_15.0",4
"247","878_Forelimb_E10.5_15.0",18
"248","879_Forelimb_E10.5_15.0",2
"249","880_Forelimb_E10.5_15.0",4
"250","882_Forelimb_E10.5_15.0",18
"251","883_Forelimb_E10.5_15.0",18
"252","884_Forelimb_E10.5_15.0",4
"253","885_Forelimb_E10.5_15.0",18
"254","887_Forelimb_E10.5_15.0",4
"255","888_Forelimb_E10.5_15.0",4
"256","891_Forelimb_E10.5_15.0",18
"257","892_Forelimb_E10.5_15.0",4
"258","893_Forelimb_E10.5_15.0",24
"259","894_Forelimb_E10.5_15.0",24
"260","898_Forelimb_E10.5_15.0",4
"261","899_Forelimb_E10.5_15.0",18
"262","900_Forelimb_E10.5_15.0",18
"263","902_Forelimb_E10.5_15.0",4
"264","903_Forelimb_E10.5_15.0",3
"265","906_Forelimb_E10.5_15.0",4
"266","907_Forelimb_E10.5_15.0",2
"267","908_Forelimb_E10.5_15.0",24
"268","913_Forelimb_E10.5_15.0",4
"269","914_Forelimb_E10.5_15.0",4
